Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_WET,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,22,0 days 00:01:26.207000,INTERMEDIATE,22.0,True,0 days 00:38:13.393000,18.3,9,27.3,0 days 00:00:25.464000,0 days 00:00:27.276000,0 days 00:00:33.467000,1,86.207,2293.393,1.9789999999998145,False,True,False,False,22.0,0.0,0.0,25.464,27.276,33.467,0,0,0,0.0,87.0594,1.0527914323359486,-0.8096570448988986,0,0,87.129,86.766,-0.36299999999999955,1.2870000000000061,-0.9220000000000113,0.125,0.0,0.570999999999998,0.8613438337853232,0.125,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,23,0 days 00:01:26.766000,INTERMEDIATE,23.0,True,0 days 00:39:40.159000,18.4,9,27.2,0 days 00:00:25.524000,0 days 00:00:27.503000,0 days 00:00:33.739000,1,86.766,2380.159,1.7959999999998217,False,True,False,False,23.0,0.0,0.0,25.524,27.503,33.739,0,0,0,0.0,86.554,0.5192865297694341,0.4082524537929616,0,0,86.207,86.715,0.5080000000000098,0.3649999999999949,0.5590000000000117,0.12166666666666497,0.0,0.27199999999999847,0.8093916233814126,0.12166666666666497,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,24,0 days 00:01:26.715000,INTERMEDIATE,24.0,True,0 days 00:41:06.874000,18.4,9,26.1,0 days 00:00:25.468000,0 days 00:00:27.461000,0 days 00:00:33.786000,12,86.715,2466.874,2.0670000000000073,False,True,False,False,24.0,0.0,0.0,25.468,27.461,33.786,0,0,1,0.0,86.5564,0.5204683467800716,0.30472554379378,0,0,86.766,89.23,2.4639999999999986,0.9240000000000066,-0.05100000000000193,-0.023999999999996174,0.0,0.3190000000000026,0.5935606119007544,-0.023999999999996174,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,30,0 days 00:01:29.230000,INTERMEDIATE,5.0,True,0 days 00:52:06.733000,17.9,9,22.5,0 days 00:00:25.463000,0 days 00:00:28.295000,0 days 00:00:35.472000,1,89.23,3126.733,1.1669999999999163,False,True,False,False,5.0,0.0,0.0,25.463,28.295,35.472,0,0,0,0.0,86.731,0.33388246434932106,7.484669806993687,0,0,86.715,90.375,3.6599999999999966,0.5080000000000098,2.5150000000000006,-0.13800000000000048,0.0,2.0050000000000026,0.33347383705472194,-0.13800000000000048,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,31,0 days 00:01:30.375000,INTERMEDIATE,6.0,True,0 days 00:53:37.108000,17.7,9,22.3,0 days 00:00:26.348000,0 days 00:00:29.001000,0 days 00:00:35.026000,1,90.375,3217.108,2.168999999999869,False,True,False,False,6.0,0.0,0.0,26.348,29.001,35.026,0,0,0,0.0,87.2094,1.1763427646736144,2.691052382915211,0,0,89.23,91.152,1.921999999999997,3.0230000000000103,1.144999999999996,1.00766666666667,0.0,1.2870000000000061,0.7238568919337587,1.00766666666667,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,32,0 days 00:01:31.152000,INTERMEDIATE,7.0,True,0 days 00:55:08.260000,17.6,9,22.0,0 days 00:00:27.206000,0 days 00:00:29.111000,0 days 00:00:34.835000,1,91.152,3308.26,2.4029999999997926,False,True,False,False,7.0,0.0,0.0,27.206,29.111,34.835,0,0,0,0.0,87.8586,1.8331929249263277,1.7965375903533778,0,0,90.375,90.349,-0.02599999999999625,4.168000000000006,0.777000000000001,1.2029999999999983,0.0,1.0489999999999995,0.743397067521794,1.2029999999999983,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,33,0 days 00:01:30.349000,INTERMEDIATE,8.0,True,0 days 00:56:38.609000,17.4,9,21.5,0 days 00:00:26.725000,0 days 00:00:29.430000,0 days 00:00:34.194000,1,90.349,3398.609,2.201000000000022,False,True,False,False,8.0,0.0,0.0,26.725,29.43,34.194,0,0,0,0.0,88.84760000000001,2.04147503046202,0.7354486229793354,0,0,91.152,89.966,-1.186000000000007,4.436999999999998,-0.8029999999999973,1.4789999999999992,0.0,-0.6409999999999982,0.7224290968669534,1.4789999999999992,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,34,0 days 00:01:29.966000,INTERMEDIATE,9.0,True,0 days 00:58:08.575000,17.4,9,21.5,0 days 00:00:26.539000,0 days 00:00:28.908000,0 days 00:00:34.519000,1,89.966,3488.575,1.1310000000003129,False,True,False,False,9.0,0.0,0.0,26.539,28.908,34.519,0,0,0,0.0,89.5642,1.733785367339304,0.23174725520760586,0,0,90.349,88.754,-1.5949999999999989,3.6340000000000003,-0.3830000000000098,0.37299999999999994,0.0,0.32499999999999574,1.0073436355087577,0.37299999999999994,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,35,0 days 00:01:28.754000,INTERMEDIATE,10.0,True,0 days 00:59:37.329000,17.2,9,21.3,0 days 00:00:26.614000,0 days 00:00:28.268000,0 days 00:00:33.872000,1,88.754,3577.329,1.1959999999999127,False,True,False,False,10.0,0.0,0.0,26.614,28.268,33.872,0,0,0,0.0,90.2144,0.6988828943391532,-2.0896204669323204,1,0,89.966,88.014,-1.9519999999999982,0.73599999999999,-1.211999999999989,-0.13633333333333533,0.0,-0.32200000000000273,1.0066250543275796,-0.13633333333333533,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,36,0 days 00:01:28.014000,INTERMEDIATE,11.0,True,0 days 01:01:05.343000,17.1,9,21.2,0 days 00:00:26.150000,0 days 00:00:28.054000,0 days 00:00:33.810000,1,88.014,3665.343,1.0889999999999418,False,True,False,False,11.0,0.0,0.0,26.15,28.054,33.81,0,0,0,0.0,90.1192,0.8763787423254118,-2.4021577639069664,1,1,88.754,87.411,-1.3430000000000035,0.0,-0.7400000000000091,-0.799333333333332,0.0,-0.06199999999999761,0.836707714796513,-0.799333333333332,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,37,0 days 00:01:27.411000,INTERMEDIATE,12.0,True,0 days 01:02:32.754000,17.0,9,21.3,0 days 00:00:25.811000,0 days 00:00:27.866000,0 days 00:00:33.734000,1,87.411,3752.754,1.3479999999999563,False,True,False,False,12.0,0.0,0.0,25.811,27.866,33.734,0,0,0,0.0,89.647,1.2573511840372513,-1.7783416665027443,1,1,88.014,86.977,-1.036999999999992,0.0,-0.6029999999999944,-0.778333333333336,0.0,-0.07600000000000051,0.6519345826077944,-0.778333333333336,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,38,0 days 00:01:26.977000,INTERMEDIATE,13.0,True,0 days 01:03:59.731000,17.1,9,21.2,0 days 00:00:25.843000,0 days 00:00:27.854000,0 days 00:00:33.280000,1,86.977,3839.731,1.0919999999996435,False,True,False,False,13.0,0.0,0.0,25.843,27.854,33.28,0,0,0,0.0,88.8988,1.2509379281162945,-1.5362872583885143,1,1,87.411,86.457,-0.9540000000000077,0.0,-0.4339999999999975,-0.8516666666666642,0.0,-0.4540000000000006,0.3568524905335522,-0.8516666666666642,0,0,2024,Canadian Grand Prix,0.0,14,0.0
ALB,39,0 days 00:01:26.457000,INTERMEDIATE,14.0,True,0 days 01:05:26.188000,17.1,9,21.2,0 days 00:00:25.599000,0 days 00:00:27.590000,0 days 00:00:33.268000,1,86.457,3926.188,0.8479999999999563,False,True,False,False,14.0,0.0,0.0,25.599,27.59,33.268,0,0,0,0.0,88.22439999999999,1.1806291966573983,-1.4969983844240549,0,1,86.977,85.607,-1.3700000000000045,0.0,-0.5200000000000102,-0.5923333333333337,0.0,-0.012000000000000455,0.29818651880995495,-0.5923333333333337,0,1,2024,Canadian Grand Prix,0.0,14,0.0
ALB,40,0 days 00:01:25.607000,INTERMEDIATE,15.0,True,0 days 01:06:51.795000,17.2,9,21.3,0 days 00:00:25.319000,0 days 00:00:27.315000,0 days 00:00:32.973000,1,85.607,4011.795,0.6759999999999309,False,True,False,False,15.0,0.0,0.0,25.319,27.315,32.973,0,0,0,0.0,87.52259999999998,0.8949102189604858,-2.140549922678406,1,0,86.457,85.222,-1.2349999999999994,0.0,-0.8499999999999943,-0.5190000000000007,0.0,-0.2950000000000017,0.192398544693042,-0.5190000000000007,0,1,2024,Canadian Grand Prix,0.0,14,0.0
ALB,41,0 days 00:01:25.222000,INTERMEDIATE,16.0,True,0 days 01:08:17.017000,17.2,9,22.3,0 days 00:00:25.252000,0 days 00:00:27.029000,0 days 00:00:32.941000,12,85.222,4097.017,1.0010000000002037,False,True,False,False,16.0,0.0,0.0,25.252,27.029,32.941,0,0,1,0.0,86.89320000000001,0.9186828614924166,-1.819126131606634,1,1,85.607,85.693,0.08599999999999852,0.0,-0.3850000000000051,-0.601333333333334,0.0,-0.031999999999996476,0.18792604928535156,-0.601333333333334,0,0,2024,Canadian Grand Prix,0.0,14,0.0
