Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,compound_WET,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,24,0 days 00:01:16.672000,HARD,6.0,True,0 days 01:34:25.123000,25.4,19,38.8,0 days 00:00:20.231000,0 days 00:00:36.015000,0 days 00:00:20.426000,1,76.672,5665.123,0.0,True,False,False,False,False,6.0,0.0,0.0,20.231,36.015,20.426,0,0,0,0.0,78.0788,1.5417125867035788,-0.9124917394674459,0,0,77.064,76.793,-0.2709999999999866,0.0,-0.3919999999999959,-0.4686666666666686,0.0,-0.043000000000002814,0.5280281242509725,-0.4686666666666686,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,25,0 days 00:01:16.793000,HARD,7.0,True,0 days 01:35:41.916000,25.3,19,38.6,0 days 00:00:20.194000,0 days 00:00:36.215000,0 days 00:00:20.384000,1,76.793,5741.916,39.251000000000204,True,False,False,False,False,7.0,0.0,0.0,20.194,36.215,20.384,0,0,0,0.0,77.2884,0.6864570634791156,-0.721676600557059,0,0,76.672,76.962,0.29000000000000625,0.0,0.12100000000000932,-0.15300000000000105,0.0,-0.04199999999999804,0.49972522449842366,-0.15300000000000105,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,26,0 days 00:01:16.962000,HARD,8.0,True,0 days 01:36:58.878000,25.3,19,38.8,0 days 00:00:20.219000,0 days 00:00:36.265000,0 days 00:00:20.478000,1,76.962,5818.878,40.322000000000116,True,False,False,False,False,8.0,0.0,0.0,20.219,36.265,20.478,0,0,0,0.0,76.953,0.2071653928638309,0.0434435495020928,0,0,76.793,77.36,0.5669999999999931,0.12100000000000932,0.16899999999999693,-0.1039999999999992,0.0,0.0940000000000012,0.0837526118995704,-0.1039999999999992,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,27,0 days 00:01:17.360000,HARD,9.0,True,0 days 01:38:16.238000,25.4,19,39.1,0 days 00:00:20.411000,0 days 00:00:36.395000,0 days 00:00:20.554000,1,77.36,5896.238,40.836999999999534,True,False,False,False,False,9.0,0.0,0.0,20.411,36.395,20.554,0,0,0,0.0,76.9192,0.18327220193043595,2.4051656244481032,0,0,76.962,78.528,1.5660000000000025,0.29000000000000625,0.39799999999999613,-0.033999999999996554,0.0,0.16999999999999815,0.08824228011560065,-0.033999999999996554,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,28,0 days 00:01:18.528000,HARD,10.0,True,0 days 01:39:34.766000,25.4,19,38.9,0 days 00:00:20.492000,0 days 00:00:36.880000,0 days 00:00:21.156000,1,78.528,5974.766,40.04899999999998,True,False,False,False,False,10.0,0.0,0.0,20.492,36.88,21.156,0,0,0,0.0,76.9702,0.265109788579037,5.876056136401672,0,0,77.36,78.952,1.5919999999999987,0.6880000000000024,1.1680000000000064,0.22933333333333414,0.0,0.7719999999999985,0.09172077191127428,0.22933333333333414,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,29,0 days 00:01:18.952000,HARD,11.0,True,0 days 01:40:53.718000,25.5,19,38.8,0 days 00:00:20.784000,0 days 00:00:37.127000,0 days 00:00:21.041000,1,78.952,6053.718,38.850000000000364,True,False,False,False,False,11.0,0.0,0.0,20.784,37.127,21.041,0,0,0,0.0,77.263,0.7533949827284359,2.2418519352003696,0,0,78.528,79.457,0.9289999999999878,1.8560000000000088,0.4239999999999924,0.5783333333333331,0.0,0.5629999999999988,0.3378064534611494,0.5783333333333331,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,30,0 days 00:01:19.457000,HARD,12.0,True,0 days 01:42:13.175000,25.6,19,38.4,0 days 00:00:20.803000,0 days 00:00:37.528000,0 days 00:00:21.126000,1,79.457,6133.175,36.927999999999884,True,False,False,False,False,12.0,0.0,0.0,20.803,37.528,21.126,0,0,0,0.0,77.71900000000001,0.966200807286097,1.7987979174657784,0,0,78.952,79.152,0.20000000000000284,2.158999999999992,0.5049999999999955,0.6633333333333317,0.0,0.5720000000000027,0.3419075898543336,0.6633333333333317,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,31,0 days 00:01:19.152000,HARD,13.0,True,0 days 01:43:32.327000,25.6,19,38.4,0 days 00:00:20.811000,0 days 00:00:37.328000,0 days 00:00:21.013000,1,79.152,6212.327,35.26899999999932,True,False,False,False,False,13.0,0.0,0.0,20.811,37.328,21.013,0,0,0,0.0,78.2518,1.0580601117139907,0.8508023221305743,0,0,79.457,79.589,0.132000000000005,2.4949999999999903,-0.3049999999999926,0.6989999999999981,0.0,-0.027999999999998693,0.2894930050968416,0.6989999999999981,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,32,0 days 00:01:19.589000,HARD,14.0,True,0 days 01:44:51.916000,25.6,19,38.4,0 days 00:00:20.863000,0 days 00:00:37.552000,0 days 00:00:21.174000,1,79.589,6291.916,32.98199999999997,True,False,False,False,False,14.0,0.0,0.0,20.863,37.552,21.174,0,0,0,0.0,78.6898,0.8163211377884064,1.101527276919625,0,0,79.152,81.559,2.4069999999999965,1.7920000000000016,0.4369999999999976,0.2079999999999984,0.0,0.1609999999999978,0.3279256013183476,0.2079999999999984,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,33,0 days 00:01:21.559000,HARD,15.0,True,0 days 01:46:13.475000,25.5,19,37.9,0 days 00:00:22.683000,0 days 00:00:36.812000,0 days 00:00:22.064000,1,81.559,6373.475,28.766999999999825,True,False,False,False,False,15.0,0.0,0.0,22.683,36.812,22.064,0,0,0,0.0,79.1356,0.4219079283446718,5.743907229968521,0,0,79.589,80.731,1.141999999999996,1.0609999999999928,1.9699999999999989,0.21233333333333348,0.0,1.0509999999999984,0.3295914137231125,0.21233333333333348,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,34,0 days 00:01:20.731000,HARD,16.0,True,0 days 01:47:34.206000,25.5,18,37.9,0 days 00:00:21.480000,0 days 00:00:37.806000,0 days 00:00:21.445000,1,80.731,6454.206,25.702000000000226,True,False,False,False,False,16.0,0.0,0.0,21.48,37.806,21.445,0,0,0,0.0,79.74179999999998,1.0462221083498529,0.94549712924746,0,0,81.559,78.619,-2.9399999999999977,2.6069999999999993,-0.828000000000003,0.700666666666668,0.0,0.4319999999999986,0.41830216351341015,0.700666666666668,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,35,0 days 00:01:18.619000,HARD,17.0,True,0 days 01:48:52.825000,25.4,18,37.9,0 days 00:00:20.716000,0 days 00:00:37.070000,0 days 00:00:20.833000,1,78.619,6532.825,25.72100000000046,True,False,False,False,False,17.0,0.0,0.0,20.716,37.07,20.833,0,0,0,0.0,80.09759999999999,1.0124336027611678,-1.4604414511405608,0,0,80.731,78.804,-1.9269999999999925,1.5789999999999935,-2.1119999999999948,0.5263333333333312,0.0,-0.3410000000000011,0.41462187593034666,0.5263333333333312,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,36,0 days 00:01:18.804000,HARD,18.0,True,0 days 01:50:11.629000,25.3,18,37.6,0 days 00:00:20.689000,0 days 00:00:36.943000,0 days 00:00:21.172000,1,78.804,6611.629,22.561999999999898,True,False,False,False,False,18.0,0.0,0.0,20.689,36.943,21.172,0,0,0,0.0,79.92999999999999,1.1974481199617724,-0.9403330142068596,0,0,78.619,79.143,0.5240000000000009,0.0,0.18500000000000227,-0.323333333333333,0.0,0.3390000000000022,0.5265657603756624,-0.323333333333333,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,37,0 days 00:01:19.143000,HARD,19.0,True,0 days 01:51:30.772000,25.3,18,36.8,0 days 00:00:20.877000,0 days 00:00:37.322000,0 days 00:00:20.944000,1,79.143,6690.772,20.125,True,False,False,False,False,19.0,0.0,0.0,20.877,37.322,20.944,0,0,0,0.0,79.8604,1.2623291171481372,-0.5683145467013808,0,0,78.804,78.633,-0.17100000000000648,0.18500000000000227,0.33899999999999864,-0.9183333333333318,0.0,0.11100000000000065,0.5022736306038771,-0.9183333333333318,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,38,0 days 00:01:18.633000,HARD,20.0,True,0 days 01:52:49.405000,25.3,18,36.8,0 days 00:00:20.652000,0 days 00:00:37.170000,0 days 00:00:20.811000,1,78.633,6769.405,17.845000000000255,True,False,False,False,False,20.0,0.0,0.0,20.652,37.17,20.811,0,0,0,0.0,79.7712,1.3014531109494543,-0.8745608969113318,0,0,79.143,78.774,-0.3689999999999998,0.5240000000000009,-0.5100000000000051,-0.5293333333333313,0.0,-0.021999999999998465,0.5069159693677047,-0.5293333333333313,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,39,0 days 00:01:18.774000,HARD,21.0,True,0 days 01:54:08.179000,25.3,18,36.7,0 days 00:00:20.669000,0 days 00:00:37.118000,0 days 00:00:20.987000,1,78.774,6848.179,15.515999999999622,True,False,False,False,False,21.0,0.0,0.0,20.669,37.118,20.987,0,0,0,0.0,79.186,0.8891141658977926,-0.4633825618827979,0,0,78.633,78.476,-0.15699999999999648,0.013999999999995794,0.14100000000000534,0.0046666666666652645,0.0,0.17599999999999838,0.3069034049990325,0.0046666666666652645,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,40,0 days 00:01:18.476000,HARD,22.0,True,0 days 01:55:26.655000,25.3,18,36.5,0 days 00:00:20.563000,0 days 00:00:37.003000,0 days 00:00:20.910000,1,78.476,6926.655,13.795000000000073,True,False,False,False,False,22.0,0.0,0.0,20.563,37.003,20.91,0,0,0,0.0,78.7946,0.2114504670134607,-1.5067358540273255,1,0,78.774,78.825,0.05100000000000193,0.15500000000000114,-0.2980000000000018,-0.010000000000000378,0.0,0.0990000000000002,0.25551379610502517,-0.010000000000000378,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,41,0 days 00:01:18.825000,HARD,23.0,True,0 days 01:56:45.480000,25.3,18,36.5,0 days 00:00:20.726000,0 days 00:00:37.279000,0 days 00:00:20.820000,1,78.825,7005.48,12.929000000000087,True,False,False,False,False,23.0,0.0,0.0,20.726,37.279,20.82,0,0,0,0.0,78.76599999999999,0.24770244245912734,0.23818901184128263,0,1,78.476,78.93,0.45400000000000773,0.0,0.34900000000000375,-0.22233333333333385,0.0,0.009000000000000341,0.13196704133987414,-0.22233333333333385,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,42,0 days 00:01:18.930000,HARD,24.0,True,0 days 01:58:04.410000,25.2,18,36.4,0 days 00:00:20.754000,0 days 00:00:36.986000,0 days 00:00:21.190000,1,78.93,7084.41,11.458999999999833,True,False,False,False,False,24.0,0.0,0.0,20.754,36.986,21.19,0,0,0,0.0,78.7702,0.24868393595127214,0.6425827200648612,0,0,78.825,78.486,-0.33899999999999864,0.34900000000000375,0.10500000000000398,0.06400000000000243,0.0,0.370000000000001,0.08036977043640126,0.06400000000000243,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,43,0 days 00:01:18.486000,HARD,25.0,True,0 days 01:59:22.896000,25.2,18,36.3,0 days 00:00:20.719000,0 days 00:00:36.907000,0 days 00:00:20.860000,1,78.486,7162.896,10.820000000000618,True,False,False,False,False,25.0,0.0,0.0,20.719,36.907,20.86,0,0,0,0.0,78.7276,0.1766756915940241,-1.3674773129240325,0,0,78.93,78.767,-0.16300000000001091,0.45400000000000773,-0.4440000000000026,0.05200000000000197,0.0,0.03999999999999915,0.1568097573494709,0.05200000000000197,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,44,0 days 00:01:18.767000,HARD,26.0,True,0 days 02:00:41.663000,25.1,18,36.1,0 days 00:00:20.670000,0 days 00:00:37.212000,0 days 00:00:20.885000,1,78.767,7241.663,9.669000000000779,True,False,False,False,False,26.0,0.0,0.0,20.67,37.212,20.885,0,0,0,0.0,78.6982,0.206129085769651,0.33377143134899406,0,0,78.486,78.829,0.3429999999999893,0.010000000000005116,0.2809999999999917,0.0033333333333350388,0.0,0.06500000000000128,0.14407532752001675,0.0033333333333350388,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,45,0 days 00:01:18.829000,HARD,27.0,True,0 days 02:02:00.492000,25.0,18,36.1,0 days 00:00:20.629000,0 days 00:00:37.174000,0 days 00:00:21.026000,1,78.829,7320.492,7.967999999999847,True,False,False,False,False,27.0,0.0,0.0,20.629,37.174,21.026,0,0,0,0.0,78.69680000000001,0.20550839398971596,0.6432827264787966,0,0,78.767,78.9,0.13300000000000978,0.2909999999999968,0.06199999999999761,-0.019333333333335645,0.0,0.16600000000000037,0.14545549147419667,-0.019333333333335645,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,46,0 days 00:01:18.900000,HARD,28.0,True,0 days 02:03:19.392000,25.1,18,36.0,0 days 00:00:20.758000,0 days 00:00:37.035000,0 days 00:00:21.107000,1,78.9,7399.392,6.114999999999782,True,False,False,False,False,28.0,0.0,0.0,20.758,37.035,21.107,0,0,0,0.0,78.7674,0.16788180366024824,0.7898414069243663,0,0,78.829,78.528,-0.3009999999999877,0.3429999999999893,0.07100000000001216,-0.0336666666666711,0.0,0.2469999999999999,0.1465110917302854,-0.0336666666666711,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,47,0 days 00:01:18.528000,HARD,29.0,True,0 days 02:04:37.920000,25.0,18,35.9,0 days 00:00:20.492000,0 days 00:00:37.095000,0 days 00:00:20.941000,1,78.528,7477.92,4.445999999999913,True,False,False,False,False,29.0,0.0,0.0,20.492,37.095,20.941,0,0,0,0.0,78.78240000000001,0.17739588495851702,-1.434080616128688,0,0,78.9,78.882,-0.018000000000000682,0.4140000000000015,-0.3719999999999999,0.13800000000000048,0.0,0.055999999999997385,0.13562927412620066,0.13800000000000048,0,0,2023,Monaco Grand Prix,0.0,19,0.0
ALB,48,0 days 00:01:18.882000,HARD,30.0,True,0 days 02:05:56.802000,25.0,18,35.8,0 days 00:00:20.561000,0 days 00:00:37.374000,0 days 00:00:20.947000,1,78.882,7556.802,2.543999999999869,True,False,False,False,False,30.0,0.0,0.0,20.561,37.374,20.947,0,0,0,0.0,78.702,0.18472276524627682,0.9744332257046202,0,0,78.528,80.597,2.0689999999999884,0.04200000000000159,0.3539999999999992,-0.07966666666666337,0.0,0.006000000000000227,0.08892524950766276,-0.07966666666666337,0,0,2023,Monaco Grand Prix,0.0,19,0.0
