Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,26,0 days 00:01:38.100000,HARD,11.0,True,0 days 01:43:07.042000,14,0 days 00:00:31.041000,0 days 00:00:42.821000,0 days 00:00:24.238000,1,98.1,6187.042,1.5850000000000364,True,False,11.0,0.0,0.0,0.0,0.0,31.041,42.821,24.238,0,0,0,0.0,98.0496,0.16220141799633195,0.3107247804771718,0,0,98.226,98.296,0.07000000000000739,0.3569999999999993,-0.12600000000000477,0.06499999999999773,0.0,0.05900000000000105,0.08126807491260155,0.06499999999999773,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,27,0 days 00:01:38.296000,HARD,12.0,True,0 days 01:44:45.338000,14,0 days 00:00:31.029000,0 days 00:00:43.069000,0 days 00:00:24.198000,1,98.296,6285.338,1.441000000000713,True,False,12.0,0.0,0.0,0.0,0.0,31.029,43.069,24.198,0,0,0,0.0,98.08599999999998,0.14477050804643,1.4505716864146954,0,0,98.1,98.048,-0.0519999999999925,0.23099999999999454,0.19600000000001216,0.07699999999999818,0.0,0.019000000000001904,0.07340095367227902,0.07699999999999818,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,28,0 days 00:01:38.048000,HARD,13.0,True,0 days 01:46:23.386000,13,0 days 00:00:31.108000,0 days 00:00:42.692000,0 days 00:00:24.248000,1,98.048,6383.386,1.4379999999991924,True,False,13.0,0.0,0.0,0.0,0.0,31.108,42.692,24.248,0,0,0,0.0,98.139,0.16648123017332142,-0.5466081666098639,0,0,98.296,97.879,-0.4170000000000016,0.4270000000000067,-0.24800000000000466,0.030666666666670988,0.0,0.06900000000000261,0.09185695401002561,0.030666666666670988,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,29,0 days 00:01:37.879000,HARD,14.0,True,0 days 01:48:01.265000,12,0 days 00:00:31.127000,0 days 00:00:42.585000,0 days 00:00:24.167000,1,97.879,6481.265,1.5189999999993233,True,False,14.0,0.0,0.0,0.0,0.0,31.127,42.585,24.167,0,0,0,0.0,98.1748,0.09979579149454428,-2.9640528480218618,1,0,98.048,97.968,-0.0799999999999983,0.0,-0.16899999999999693,-0.059333333333332426,0.0,-0.030999999999998806,0.07357309290766544,-0.059333333333332426,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,30,0 days 00:01:37.968000,HARD,15.0,True,0 days 01:49:39.233000,12,0 days 00:00:31.045000,0 days 00:00:42.634000,0 days 00:00:24.289000,1,97.968,6579.233,1.5289999999995416,True,False,15.0,0.0,0.0,0.0,0.0,31.045,42.634,24.289,0,0,0,0.0,98.10979999999999,0.16229356117856542,-0.8737253589744829,0,1,97.879,98.135,0.2560000000000002,0.0,0.08899999999999864,-0.07366666666666315,0.0,0.12199999999999989,0.04549945054613257,-0.07366666666666315,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,31,0 days 00:01:38.135000,HARD,16.0,True,0 days 01:51:17.368000,12,0 days 00:00:31.093000,0 days 00:00:42.811000,0 days 00:00:24.231000,1,98.135,6677.368,1.5479999999997744,True,False,16.0,0.0,0.0,0.0,0.0,31.093,42.811,24.231,0,0,0,0.0,98.0582,0.15704203259006833,0.48904104673988247,0,0,97.968,98.183,0.2150000000000034,0.08899999999999864,0.1670000000000016,-0.10933333333333432,0.0,0.06400000000000006,0.05726953815074786,-0.10933333333333432,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,32,0 days 00:01:38.183000,HARD,17.0,True,0 days 01:52:55.551000,11,0 days 00:00:31.143000,0 days 00:00:42.707000,0 days 00:00:24.333000,1,98.183,6775.551,1.389999999999418,True,False,17.0,0.0,0.0,0.0,0.0,31.143,42.707,24.333,0,0,0,0.0,98.0652,0.16012089182870629,0.73569412869635,0,0,98.135,98.346,0.21099999999999852,0.2560000000000002,0.04800000000000182,0.029000000000001098,0.0,0.16599999999999682,0.0575612717024212,0.029000000000001098,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,33,0 days 00:01:38.346000,HARD,18.0,True,0 days 01:54:33.897000,11,0 days 00:00:31.537000,0 days 00:00:42.677000,0 days 00:00:24.132000,1,98.346,6873.897,1.1940000000004147,True,False,18.0,0.0,0.0,0.0,0.0,31.537,42.677,24.132,0,0,0,0.0,98.04260000000001,0.12309467900774643,2.4647694152637025,0,0,98.183,97.75,-0.43300000000000693,0.30400000000000205,0.1629999999999967,0.10133333333333401,0.0,-0.0990000000000002,0.07388842940542037,0.10133333333333401,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,34,0 days 00:01:37.750000,HARD,19.0,True,0 days 01:56:11.647000,11,0 days 00:00:31.413000,0 days 00:00:42.368000,0 days 00:00:23.969000,1,97.75,6971.647,1.6900000000005093,True,False,19.0,0.0,0.0,0.0,0.0,31.413,42.368,23.969,0,0,0,0.0,98.10220000000001,0.18362380020035401,-1.9180520151294171,1,0,98.346,97.767,-0.5790000000000077,0.46699999999999875,-0.5960000000000036,0.12600000000000003,0.0,-0.16300000000000026,0.1089050044763774,0.12600000000000003,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,35,0 days 00:01:37.767000,HARD,20.0,True,0 days 01:57:49.414000,10,0 days 00:00:31.295000,0 days 00:00:42.496000,0 days 00:00:23.976000,1,97.767,7069.414,4.657000000000153,True,False,20.0,0.0,0.0,0.0,0.0,31.295,42.496,23.976,0,0,0,0.0,98.0764,0.22680895044071891,-1.3641436962642208,0,1,97.75,96.129,-1.6209999999999951,0.0,0.016999999999995907,-0.12833333333333505,0.0,0.006999999999997897,0.1425534987294237,-0.12833333333333505,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
