Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,28,0 days 00:01:30.332000,INTERMEDIATE,26.0,True,0 days 02:00:40.667000,15.7,7,19.1,0 days 00:00:32.112000,0 days 00:00:19.035000,0 days 00:00:39.185000,1,90.332,7240.667,0.8170000000000073,False,True,False,26.0,0.0,0.0,32.112,19.035,39.185,0,0,0,0.0,91.27860000000001,0.5752858419950602,-1.6454428927318292,1,1,90.452,90.023,-0.42900000000000205,0.0,-0.12000000000000455,-0.4719999999999989,0.0,-0.0969999999999942,0.24330782971371961,-0.4719999999999989,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,29,0 days 00:01:30.023000,INTERMEDIATE,27.0,True,0 days 02:02:10.690000,15.7,7,19.1,0 days 00:00:31.760000,0 days 00:00:19.016000,0 days 00:00:39.247000,1,90.023,7330.69,0.9210000000002765,False,True,False,27.0,0.0,0.0,31.76,19.016,39.247,0,0,0,0.0,90.995,0.6315663068910139,-1.5390308022998151,1,1,90.332,89.628,-0.7039999999999935,0.0,-0.3089999999999975,-0.22733333333333405,0.0,0.06199999999999761,0.24068901096643466,-0.22733333333333405,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,30,0 days 00:01:29.628000,INTERMEDIATE,28.0,True,0 days 02:03:40.318000,15.8,7,19.1,0 days 00:00:31.511000,0 days 00:00:18.876000,0 days 00:00:39.241000,1,89.628,7420.318,1.0299999999997453,False,True,False,28.0,0.0,0.0,31.511,18.876,39.241,0,0,0,0.0,90.626,0.5237733288359899,-1.9054043897537023,1,1,90.023,90.053,0.030000000000001137,0.0,-0.394999999999996,-0.42866666666666714,0.0,0.055999999999997385,0.17772450590731773,-0.42866666666666714,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALB,31,0 days 00:01:30.053000,INTERMEDIATE,29.0,True,0 days 02:05:10.371000,15.8,7,19.1,0 days 00:00:31.829000,0 days 00:00:19.026000,0 days 00:00:39.198000,1,90.053,7510.371,1.399000000000342,False,True,False,29.0,0.0,0.0,31.829,19.026,39.198,0,0,0,0.0,90.3488,0.6242224763655311,-0.4738695115918668,0,1,89.628,90.186,0.5580000000000069,0.0,0.42499999999999716,-0.274666666666666,0.0,0.012999999999998124,0.16404054376891086,-0.274666666666666,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALB,32,0 days 00:01:30.186000,INTERMEDIATE,30.0,True,0 days 02:06:40.557000,15.9,7,19.0,0 days 00:00:32,0 days 00:00:19.029000,0 days 00:00:39.157000,1,90.186,7600.557,1.4470000000001164,False,True,False,30.0,0.0,0.0,32.0,19.029,39.157,0,0,0,0.0,90.09759999999999,0.3196174275597267,0.2765806629349149,0,0,90.053,87.127,-2.926000000000002,0.42499999999999716,0.13300000000000978,-0.09299999999999879,0.0,-0.04100000000000392,0.16467938547371364,-0.09299999999999879,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALB,42,0 days 00:01:27.127000,MEDIUM,9.0,True,0 days 02:26:48.507000,16.6,7,19.3,0 days 00:00:31.343000,0 days 00:00:18.776000,0 days 00:00:37.008000,1,87.127,8808.507,0.793999999999869,False,False,True,9.0,0.0,0.0,31.343,18.776,37.008,0,0,0,0.0,90.0444,0.2630043725870239,-11.092591242127277,1,0,90.186,84.597,-5.589000000000013,0.5580000000000069,-3.0590000000000117,0.054333333333336974,0.0,-2.148999999999994,0.06750777732972445,0.054333333333336974,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,43,0 days 00:01:24.597000,MEDIUM,10.0,True,0 days 02:28:13.104000,16.6,7,19.3,0 days 00:00:29.496000,0 days 00:00:18.200000,0 days 00:00:36.901000,1,84.597,8893.104,0.4150000000008731,False,False,True,10.0,0.0,0.0,29.496,18.2,36.901,0,0,0,0.0,89.40339999999999,1.289456203211207,-3.7274627769677964,1,1,87.127,92.795,5.668000000000006,0.0,-2.530000000000001,-0.8336666666666682,0.0,-0.10699999999999932,0.9719998456789962,-0.8336666666666682,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,46,0 days 00:01:32.795000,INTERMEDIATE,2.0,True,0 days 02:33:07.807000,15.7,7,19.3,0 days 00:00:31.869000,0 days 00:00:18.953000,0 days 00:00:41.973000,1,92.795,9187.807,2.4569999999985157,False,True,False,2.0,0.0,0.0,31.869,18.953,41.973,0,0,0,0.0,88.3182,2.422811940700272,1.847770322077105,0,1,84.597,94.996,10.399000000000001,0.0,8.198000000000008,-1.8186666666666678,0.0,5.071999999999996,0.9541801716657043,-1.8186666666666678,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALB,52,0 days 00:01:34.996000,INTERMEDIATE,8.0,True,0 days 02:45:46.622000,15.2,4,18.7,0 days 00:00:34.191000,0 days 00:00:19.708000,0 days 00:00:41.097000,1,94.996,9946.622,1.048000000000684,False,True,False,8.0,0.0,0.0,34.191,19.708,41.097,0,0,0,0.0,88.95160000000001,3.1543721720811373,1.9161974777415411,0,0,92.795,91.917,-0.8780000000000001,8.198000000000008,2.2009999999999934,0.8696666666666649,0.0,4.195999999999998,2.6833791755918477,0.8696666666666649,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALB,53,0 days 00:01:31.917000,INTERMEDIATE,9.0,True,0 days 02:47:18.539000,15.4,4,18.7,0 days 00:00:32.586000,0 days 00:00:19.108000,0 days 00:00:40.223000,1,91.917,10038.539,0.5289999999986321,False,True,False,9.0,0.0,0.0,32.586,19.108,40.223,0,0,0,0.0,89.9402,4.19032501126105,0.4717533830162478,0,0,94.996,90.587,-4.408999999999992,10.399000000000001,-3.0789999999999935,2.6229999999999998,0.0,3.3219999999999956,3.0920851702370653,2.6229999999999998,0,1,2025,Australian Grand Prix,0.0,14,0.0
