Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_None,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,24,0 days 00:01:12.537000,HARD,13.0,True,0 days 01:31:23.924000,14,0 days 00:00:17.789000,0 days 00:00:32.686000,0 days 00:00:22.062000,1,72.537,5483.924,2.3299999999999272,True,False,False,13.0,0.0,0.0,0.0,0.0,17.789,32.686,22.062,0,0,0,0.0,71.6754,0.41360585102243586,2.0831426776727895,0,0,72.174,71.79,-0.38400000000000034,0.9000000000000057,0.36299999999999955,0.3000000000000019,0.0,0.30900000000000105,0.2662682857570539,0.3000000000000019,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,25,0 days 00:01:11.790000,HARD,14.0,True,0 days 01:32:35.714000,14,0 days 00:00:17.546000,0 days 00:00:32.378000,0 days 00:00:21.866000,1,71.79,5555.714,2.2330000000001746,True,False,False,14.0,0.0,0.0,0.0,0.0,17.546,32.378,21.866,0,0,0,0.0,71.90880000000001,0.5150210675302338,-0.23067017543516957,0,0,72.537,71.934,-0.6030000000000086,1.2630000000000052,-0.7469999999999999,0.34666666666666873,0.0,-0.16499999999999915,0.24069732030082944,0.34666666666666873,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,26,0 days 00:01:11.934000,HARD,15.0,True,0 days 01:33:47.648000,14,0 days 00:00:17.732000,0 days 00:00:32.172000,0 days 00:00:22.030000,1,71.934,5627.648,1.949999999999818,True,False,False,15.0,0.0,0.0,0.0,0.0,17.732,32.172,22.03,0,0,0,0.0,72.01200000000001,0.3933439970305556,-0.1982997086236402,0,0,71.79,72.243,0.45299999999998875,0.29300000000000637,0.14399999999999125,-0.09066666666666379,0.0,0.16400000000000148,0.29324733587877666,-0.09066666666666379,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,27,0 days 00:01:12.243000,HARD,16.0,True,0 days 01:34:59.891000,13,0 days 00:00:17.824000,0 days 00:00:32.394000,0 days 00:00:22.025000,1,72.243,5699.891,1.8610000000007858,True,False,False,16.0,0.0,0.0,0.0,0.0,17.824,32.394,22.025,0,0,0,0.0,72.0994,0.2835238967000267,0.506482880883665,0,0,71.934,72.213,0.27899999999999636,0.14399999999999125,0.3089999999999975,-0.08000000000000303,0.0,0.15899999999999892,0.2906300053332415,-0.08000000000000303,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,28,0 days 00:01:12.213000,HARD,17.0,True,0 days 01:36:12.104000,12,0 days 00:00:17.822000,0 days 00:00:32.411000,0 days 00:00:21.980000,1,72.213,5772.104,1.643000000000029,True,False,False,17.0,0.0,0.0,0.0,0.0,17.822,32.411,21.98,0,0,0,0.0,72.1356,0.28905587695109025,0.2677682973146875,0,0,72.243,71.99,-0.2530000000000001,0.45299999999998875,-0.030000000000001137,-0.09800000000000371,0.0,0.11400000000000077,0.2188168183664131,-0.09800000000000371,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,29,0 days 00:01:11.990000,HARD,18.0,True,0 days 01:37:24.094000,12,0 days 00:00:17.765000,0 days 00:00:32.200000,0 days 00:00:22.025000,1,71.99,5844.094,1.6880000000001019,True,False,False,18.0,0.0,0.0,0.0,0.0,17.765,32.2,22.025,0,0,0,0.0,72.1434,0.29087162116638776,-0.5273804277807329,0,0,72.213,71.891,-0.3219999999999885,0.4229999999999876,-0.22299999999999898,0.14099999999999588,0.0,0.04499999999999815,0.1734695938774285,0.14099999999999588,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,30,0 days 00:01:11.891000,HARD,19.0,True,0 days 01:38:35.985000,11,0 days 00:00:17.866000,0 days 00:00:32.130000,0 days 00:00:21.895000,1,71.891,5915.985,1.6260000000002037,True,False,False,19.0,0.0,0.0,0.0,0.0,17.866,32.13,21.895,0,0,0,0.0,72.03399999999999,0.19182935124733105,-0.7454542230902532,0,0,71.99,71.911,-0.07899999999999352,0.19999999999998863,-0.09899999999998954,0.018666666666665794,0.0,-0.08500000000000085,0.13631324220338958,0.018666666666665794,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,31,0 days 00:01:11.911000,HARD,20.0,True,0 days 01:39:47.896000,11,0 days 00:00:17.959000,0 days 00:00:32.091000,0 days 00:00:21.861000,1,71.911,5987.896,1.6199999999998909,True,False,False,20.0,0.0,0.0,0.0,0.0,17.959,32.091,21.861,0,0,0,0.0,72.05420000000001,0.16283949152453994,-0.8793935590153023,0,0,71.891,71.709,-0.18200000000000216,0.0,0.01999999999999602,-0.11733333333332989,0.0,-0.03399999999999892,0.10356302428956062,-0.11733333333332989,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,32,0 days 00:01:11.709000,HARD,21.0,True,0 days 01:40:59.605000,11,0 days 00:00:17.819000,0 days 00:00:31.946000,0 days 00:00:21.944000,1,71.709,6059.605,1.8430000000007567,True,False,False,21.0,0.0,0.0,0.0,0.0,17.819,31.946,21.944,0,0,0,0.0,72.0496,0.16734634743540433,-2.0352998748984734,1,0,71.911,72.068,0.15699999999999648,0.01999999999999602,-0.20199999999999818,-0.10066666666666417,0.0,0.08299999999999841,0.10094899702324912,-0.10066666666666417,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,33,0 days 00:01:12.068000,HARD,22.0,True,0 days 01:42:11.673000,11,0 days 00:00:17.846000,0 days 00:00:32.220000,0 days 00:00:22.002000,1,72.068,6131.673,1.8320000000003347,True,False,False,22.0,0.0,0.0,0.0,0.0,17.846,32.22,22.002,0,0,0,0.0,71.9428,0.182751744177677,0.6850823808185876,0,1,71.709,71.968,0.25900000000000034,0.0,0.35899999999999466,-0.0936666666666639,0.0,0.14099999999999824,0.08256088662314602,-0.0936666666666639,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,34,0 days 00:01:11.968000,HARD,23.0,True,0 days 01:43:23.641000,11,0 days 00:00:17.829000,0 days 00:00:32.191000,0 days 00:00:21.948000,1,71.968,6203.641,1.8520000000007713,True,False,False,23.0,0.0,0.0,0.0,0.0,17.829,32.191,21.948,0,0,0,0.0,71.9138,0.13421512582413095,0.4038292976831073,0,0,72.068,71.82,-0.24800000000000466,0.35899999999999466,-0.09999999999999432,0.0589999999999975,0.0,0.08699999999999974,0.09038252043398574,0.0589999999999975,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,35,0 days 00:01:11.820000,HARD,24.0,True,0 days 01:44:35.461000,11,0 days 00:00:17.902000,0 days 00:00:32.067000,0 days 00:00:21.851000,1,71.82,6275.461,1.8980000000001382,True,False,False,24.0,0.0,0.0,0.0,0.0,17.902,32.067,21.851,0,0,0,0.0,71.9094,0.1314241225954659,-0.6802404173181537,0,0,71.968,71.843,-0.125,0.25900000000000034,-0.14800000000001035,0.01900000000000072,0.0,-0.09299999999999997,0.09400425522283483,0.01900000000000072,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,36,0 days 00:01:11.843000,HARD,25.0,True,0 days 01:45:47.304000,11,0 days 00:00:17.860000,0 days 00:00:32.136000,0 days 00:00:21.847000,1,71.843,6347.304,1.9049999999997453,True,False,False,25.0,0.0,0.0,0.0,0.0,17.86,32.136,21.847,0,0,0,0.0,71.8952,0.13759978197653683,-0.3793610662035798,0,0,71.82,72.099,0.2790000000000106,0.11099999999999,0.023000000000010346,0.03699999999999667,0.0,-0.003999999999997783,0.09666022967073798,0.03699999999999667,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,37,0 days 00:01:12.099000,HARD,26.0,True,0 days 01:46:59.403000,11,0 days 00:00:17.879000,0 days 00:00:32.150000,0 days 00:00:22.070000,1,72.099,6419.403,2.162999999999556,True,False,False,26.0,0.0,0.0,0.0,0.0,17.879,32.15,22.07,0,0,0,0.0,71.8816,0.1390010791324743,1.564016634668036,0,0,71.843,72.196,0.35299999999999443,0.13400000000000034,0.2560000000000002,-0.07499999999999811,0.0,0.22299999999999898,0.09198478134995926,-0.07499999999999811,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,38,0 days 00:01:12.196000,HARD,27.0,True,0 days 01:48:11.599000,11,0 days 00:00:17.878000,0 days 00:00:32.265000,0 days 00:00:22.053000,1,72.196,6491.599,2.2789999999995416,True,False,False,27.0,0.0,0.0,0.0,0.0,17.878,32.265,22.053,0,0,0,0.0,71.9596,0.12682389364777033,1.8640020677535742,0,0,72.099,72.039,-0.060000000000002274,0.2790000000000106,0.0969999999999942,0.04366666666666674,0.0,0.20599999999999952,0.12326881195176564,0.04366666666666674,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,39,0 days 00:01:12.039000,HARD,28.0,True,0 days 01:49:23.638000,11,0 days 00:00:17.771000,0 days 00:00:32.212000,0 days 00:00:22.056000,12,72.039,6563.638,3.76299999999992,True,False,False,28.0,0.0,0.0,0.0,0.0,17.771,32.212,22.056,0,0,1,0.0,71.9852,0.16216873928095912,0.3317532111215733,0,0,72.196,72.558,0.362000000000009,0.3760000000000048,-0.15699999999999648,0.12533333333333493,0.0,0.20899999999999963,0.13535767432990192,0.12533333333333493,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,40,0 days 00:01:12.558000,HARD,29.0,True,0 days 01:50:36.196000,11,0 days 00:00:17.805000,0 days 00:00:32.619000,0 days 00:00:22.134000,1,72.558,6636.196,4.7830000000003565,True,False,False,29.0,0.0,0.0,0.0,0.0,17.805,32.619,22.134,0,0,0,0.0,71.99940000000001,0.1633900241752019,3.418813375050461,0,0,72.039,70.395,-1.6440000000000055,0.2190000000000083,0.5190000000000055,0.06533333333333265,0.0,0.08099999999999952,0.14660729859048546,0.06533333333333265,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,43,0 days 00:01:10.395000,None,,True,0 days 01:54:30.297000,16,0 days 00:00:17.448000,0 days 00:00:31.385000,0 days 00:00:21.562000,1,70.395,6870.297,0.7650000000003274,False,False,True,0.0,0.0,0.0,0.0,0.0,17.448,31.385,21.562,0,0,0,0.0,72.147,0.2634890889580485,-6.649231688978798,1,0,72.558,70.32,-2.2380000000000138,0.7150000000000034,-2.163000000000011,0.15300000000000105,0.0,-0.49099999999999966,0.10022225301797885,0.15300000000000105,0,1,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,44,0 days 00:01:10.320000,None,,True,0 days 01:55:40.617000,15,0 days 00:00:17.072000,0 days 00:00:31.709000,0 days 00:00:21.539000,1,70.32,6940.617,1.7690000000002328,False,False,True,0.0,0.0,0.0,0.0,0.0,17.072,31.709,21.539,0,0,0,0.0,71.8574,0.8419401997766874,-1.8260204233124615,1,1,70.395,70.904,0.5090000000000003,0.0,-0.07500000000000284,-0.6003333333333339,0.0,-0.022999999999999687,0.30540595933936804,-0.6003333333333339,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,45,0 days 00:01:10.904000,None,,True,0 days 01:56:51.521000,15,0 days 00:00:17.537000,0 days 00:00:31.800000,0 days 00:00:21.567000,1,70.904,7011.521,1.4030000000002474,False,False,True,0.0,0.0,0.0,0.0,0.0,17.537,31.8,21.567,0,0,0,0.0,71.5016,1.0615687919301737,-0.5629404373440812,0,1,70.32,70.779,0.4590000000000032,0.0,0.5840000000000032,-0.5730000000000027,0.0,0.027999999999998693,0.2890602013422114,-0.5730000000000027,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,46,0 days 00:01:10.779000,None,,True,0 days 01:58:02.300000,14,0 days 00:00:17.507000,0 days 00:00:31.612000,0 days 00:00:21.660000,1,70.779,7082.3,1.2709999999997308,False,False,True,0.0,0.0,0.0,0.0,0.0,17.507,31.612,21.66,0,0,0,0.0,71.2432,1.006080861561407,-0.4613943249845554,0,0,70.904,70.802,-0.10199999999998965,0.5840000000000032,-0.125,-0.5513333333333369,0.0,0.12099999999999866,0.2669048519603939,-0.5513333333333369,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
ALB,47,0 days 00:01:10.802000,None,,True,0 days 01:59:13.102000,13,0 days 00:00:17.529000,0 days 00:00:31.774000,0 days 00:00:21.499000,1,70.802,7153.102,1.3100000000004002,False,False,True,0.0,0.0,0.0,0.0,0.0,17.529,31.774,21.499,0,0,0,0.0,70.99119999999999,0.9101454279400606,-0.20787886659849872,0,0,70.779,70.605,-0.17399999999999238,0.4590000000000032,0.023000000000010346,0.1280000000000001,0.0,-0.0400000000000027,0.24872916998213077,0.1280000000000001,0,0,2022,Qatar Grand Prix,2022_Qatar Grand Prix
