Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_nan,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,24,0 days 00:01:32.430000,nan,,True,0 days 01:35:22.273000,26.8,6,37.7,0 days 00:00:31.406000,0 days 00:00:35.167000,0 days 00:00:25.857000,1,92.43,5722.273,3.757999999999811,False,False,True,0.0,0.0,0.0,31.406,35.167,25.857,0,0,0,0.0,92.535,0.1458440948411929,-0.7199468728186934,0,0,92.397,92.076,-0.32100000000001216,0.007000000000005002,0.03300000000000125,-0.06799999999999784,0.0,0.06499999999999773,0.08728573766658433,-0.06799999999999784,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,25,0 days 00:01:32.076000,MEDIUM,1.0,True,0 days 01:36:54.349000,26.8,5,37.5,0 days 00:00:31.323000,0 days 00:00:35.056000,0 days 00:00:25.697000,1,92.076,5814.349,5.4979999999995925,False,True,False,1.0,0.0,0.0,31.323,35.056,25.697,0,0,0,0.0,92.47380000000001,0.0961493629726902,-4.137312902561893,1,0,92.43,91.203,-1.2270000000000039,0.04000000000000625,-0.3540000000000134,-0.0403333333333317,0.0,-0.09500000000000242,0.09025076176963664,-0.0403333333333317,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,30,0 days 00:01:31.203000,MEDIUM,6.0,True,0 days 01:45:30.612000,26.5,6,36.4,0 days 00:00:31.274000,0 days 00:00:34.422000,0 days 00:00:25.507000,1,91.203,6330.612,4.661000000000058,False,True,False,6.0,0.0,0.0,31.274,34.422,25.507,0,0,0,0.0,92.36880000000001,0.17601051104996182,-6.62346807043293,1,1,92.076,91.071,-1.0049999999999955,0.0,-0.8729999999999905,-0.10466666666666906,0.0,-0.18999999999999773,0.09808669634563,-0.10466666666666906,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,31,0 days 00:01:31.071000,MEDIUM,7.0,True,0 days 01:47:01.683000,26.5,5,36.0,0 days 00:00:30.555000,0 days 00:00:34.786000,0 days 00:00:25.730000,1,91.071,6421.683,1.5039999999999054,False,True,False,7.0,0.0,0.0,30.555,34.786,25.73,0,0,0,0.0,92.0992,0.5211503621797652,-1.9729430786528586,1,1,91.203,91.514,0.31099999999999284,0.0,-0.132000000000005,-0.39800000000000085,0.0,0.22299999999999898,0.11303229626969265,-0.39800000000000085,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,32,0 days 00:01:31.514000,MEDIUM,8.0,True,0 days 01:48:33.197000,26.4,5,36.4,0 days 00:00:30.927000,0 days 00:00:34.703000,0 days 00:00:25.884000,1,91.514,6513.197,1.9570000000003347,False,True,False,8.0,0.0,0.0,30.927,34.703,25.884,0,0,0,0.0,91.8354,0.6540392190076496,-0.4914078401715114,0,1,91.071,90.608,-0.46299999999999386,0.0,0.44299999999999784,-0.45300000000000296,0.0,0.3769999999999989,0.15778688158398885,-0.45300000000000296,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,34,0 days 00:01:30.608000,HARD,2.0,True,0 days 01:52:03.088000,26.2,5,36.1,0 days 00:00:30.687000,0 days 00:00:34.381000,0 days 00:00:25.540000,1,90.608,6723.088,2.686999999999898,True,False,False,2.0,0.0,0.0,30.687,34.381,25.54,0,0,0,0.0,91.6588,0.5794468914405854,-1.8134535114815453,1,0,91.514,91.143,-0.3709999999999951,0.44299999999999784,-0.9059999999999917,-0.18733333333333255,0.0,0.0329999999999977,0.2303953124523146,-0.18733333333333255,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,35,0 days 00:01:31.143000,HARD,3.0,True,0 days 01:53:34.231000,26.1,5,35.9,0 days 00:00:30.875000,0 days 00:00:34.679000,0 days 00:00:25.589000,1,91.143,6814.231,2.3510000000005675,True,False,False,3.0,0.0,0.0,30.875,34.679,25.589,0,0,0,0.0,91.2944,0.5450984314783904,-0.277748001566204,0,1,90.608,90.799,0.1910000000000025,0.0,0.5349999999999966,-0.19833333333333295,0.0,0.04899999999999949,0.23122024132847818,-0.19833333333333295,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,36,0 days 00:01:30.799000,HARD,4.0,True,0 days 01:55:05.030000,26.1,5,35.5,0 days 00:00:30.642000,0 days 00:00:34.531000,0 days 00:00:25.626000,1,90.799,6905.03,2.5,True,False,False,4.0,0.0,0.0,30.642,34.531,25.626,0,0,0,0.0,91.1078,0.32651753398589595,-0.9457378788525629,0,0,91.143,91.111,-0.031999999999996476,0.5349999999999966,-0.3439999999999941,0.02400000000000091,0.0,0.08600000000000207,0.21391306645457528,0.02400000000000091,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,37,0 days 00:01:31.111000,HARD,5.0,True,0 days 01:56:36.141000,26.1,5,35.7,0 days 00:00:30.777000,0 days 00:00:34.680000,0 days 00:00:25.654000,1,91.111,6996.141,2.7409999999999854,True,False,False,5.0,0.0,0.0,30.777,34.68,25.654,0,0,0,0.0,91.027,0.34644840885799905,0.242460342874407,0,0,90.799,91.363,0.563999999999993,0.1910000000000025,0.3119999999999976,-0.23833333333332973,0.0,0.11400000000000077,0.14558433981716554,-0.23833333333332973,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,38,0 days 00:01:31.363000,HARD,6.0,True,0 days 01:58:07.504000,26.2,5,36.0,0 days 00:00:30.941000,0 days 00:00:34.730000,0 days 00:00:25.692000,1,91.363,7087.504,2.463999999999942,True,False,False,6.0,0.0,0.0,30.941,34.73,25.692,0,0,0,0.0,91.035,0.34817596126131223,0.9420524002052891,0,0,91.111,91.351,0.23999999999999488,0.5030000000000001,0.25199999999999534,0.1676666666666667,0.0,0.10300000000000153,0.1406723142626151,0.1676666666666667,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,39,0 days 00:01:31.351000,HARD,7.0,True,0 days 01:59:38.855000,26.2,5,35.7,0 days 00:00:30.986000,0 days 00:00:34.745000,0 days 00:00:25.620000,1,91.351,7178.855,2.3010000000003856,True,False,False,7.0,0.0,0.0,30.986,34.745,25.62,0,0,0,0.0,91.0048,0.2993696711429591,1.1564297701842814,0,0,91.363,91.181,-0.18200000000000216,0.7549999999999955,-0.012000000000000455,0.07333333333333296,0.0,-0.006000000000000227,0.03480660856791562,0.07333333333333296,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,40,0 days 00:01:31.181000,HARD,8.0,True,0 days 02:01:10.036000,26.2,5,35.5,0 days 00:00:30.830000,0 days 00:00:34.690000,0 days 00:00:25.661000,1,91.181,7270.036,2.4080000000003565,True,False,False,8.0,0.0,0.0,30.83,34.69,25.661,0,0,0,0.0,91.1534,0.22939224049699705,0.12031793202854142,0,0,91.351,90.975,-0.3760000000000048,0.5519999999999925,-0.1700000000000017,0.1839999999999975,0.0,0.04100000000000037,0.04872063217980725,0.1839999999999975,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,41,0 days 00:01:30.975000,HARD,9.0,True,0 days 02:02:41.011000,26.2,5,35.1,0 days 00:00:30.568000,0 days 00:00:34.751000,0 days 00:00:25.656000,1,90.975,7361.011,3.157999999999447,True,False,False,9.0,0.0,0.0,30.568,34.751,25.656,0,0,0,0.0,91.161,0.2295909405883245,-0.8101364954705265,0,0,91.181,91.389,0.2079999999999984,0.3819999999999908,-0.20600000000000307,0.02333333333333106,0.0,0.03599999999999781,0.049671923659146355,0.02333333333333106,0,0,2025,Miami Grand Prix,0.0,19,0.0
