Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALO,19,0 days 00:02:00.463000,INTERMEDIATE,19.0,True,0 days 02:48:29.711000,27.3,6,28.1,0 days 00:00:32.055000,0 days 00:00:46.577000,0 days 00:00:41.831000,1,120.463,10109.711,0.930000000000291,True,False,False,19.0,0.0,0.0,32.055,46.577,41.831,0,0,0,0.0,121.0966,0.3363559126878833,-1.8837189301558122,1,1,120.709,120.64,-0.06900000000000261,0.0,-0.24600000000000932,-0.23866666666666467,0.0,0.018000000000000682,0.17203836781369314,-0.23866666666666467,0,1,2022,Singapore Grand Prix,0.0,19,0.0
BOT,2,0 days 00:02:09.037000,INTERMEDIATE,2.0,True,0 days 02:12:27.553000,26.9,16,29.9,0 days 00:00:33.718000,0 days 00:00:50.228000,0 days 00:00:45.091000,1,129.037,7947.553,2.145999999999731,True,False,False,2.0,0.0,0.0,33.718,50.228,45.091,0,0,0,0.0,120.73740000000001,0.20437294341502077,40.61007225964337,0,0,129.037,126.307,-2.730000000000004,8.574000000000012,0.0,-0.10799999999999936,0.0,3.259999999999998,0.12772626981165316,0.0,0,0,2022,Singapore Grand Prix,0.0,19,0.0
BOT,3,0 days 00:02:06.307000,INTERMEDIATE,3.0,True,0 days 02:14:33.860000,26.9,16,29.8,0 days 00:00:33.102000,0 days 00:00:49.347000,0 days 00:00:43.858000,1,126.307,8073.86,3.4960000000000946,True,False,False,3.0,0.0,0.0,33.102,49.347,43.858,0,0,0,0.0,,,0.0,0,0,129.037,125.3,-3.737000000000009,0.0,-2.730000000000004,0.0,0.0,0.0,0.0,0.0,0,0,2022,Singapore Grand Prix,0.0,19,0.0
BOT,4,0 days 00:02:05.300000,INTERMEDIATE,4.0,True,0 days 02:16:39.160000,26.8,16,29.4,0 days 00:00:32.800000,0 days 00:00:48.989000,0 days 00:00:43.511000,1,125.3,8199.16,3.1900000000005093,True,False,False,4.0,0.0,0.0,32.8,48.989,43.511,0,0,0,0.0,,,0.0,0,0,126.307,124.635,-1.671999999999997,0.0,-1.007000000000005,-1.365000000000002,0.0,-0.3469999999999942,0.0,0.0,0,0,2022,Singapore Grand Prix,0.0,19,0.0
BOT,5,0 days 00:02:04.635000,INTERMEDIATE,5.0,True,0 days 02:18:43.795000,26.9,16,29.3,0 days 00:00:32.457000,0 days 00:00:49.024000,0 days 00:00:43.154000,1,124.635,8323.795,1.120999999999185,True,False,False,5.0,0.0,0.0,32.457,49.024,43.154,0,0,0,0.0,126.88133333333333,1.9335682903206002,-1.1617553642032816,0,0,125.3,124.208,-1.0919999999999987,0.0,-0.664999999999992,-1.2456666666666696,0.0,-0.3569999999999993,1.9899102994858808,-1.8685000000000045,0,0,2022,Singapore Grand Prix,0.0,19,0.0
BOT,6,0 days 00:02:04.208000,INTERMEDIATE,6.0,True,0 days 02:20:48.003000,27.0,16,29.4,0 days 00:00:32.696000,0 days 00:00:48.612000,0 days 00:00:42.900000,1,124.208,8448.003,0.7299999999995634,True,False,False,6.0,0.0,0.0,32.696,48.612,42.9,0,0,0,0.0,126.31975,1.9375141074755184,-1.089927547805834,0,0,124.635,125.534,0.8990000000000009,0.0,-0.4270000000000067,-1.4673333333333336,0.0,-0.2540000000000049,1.7551993239135717,-1.4673333333333336,0,1,2022,Singapore Grand Prix,0.0,19,0.0
BOT,7,0 days 00:02:05.534000,INTERMEDIATE,7.0,True,0 days 02:22:53.537000,27.1,15,29.4,0 days 00:00:32.368000,0 days 00:00:50.405000,0 days 00:00:42.761000,12,125.534,8573.537,5.699000000000524,True,False,False,7.0,0.0,0.0,32.368,50.405,42.761,0,0,1,0.0,125.89739999999999,1.9254527519521205,-0.18873483113597633,0,0,124.208,123.254,-0.9539999999999935,0.0,1.3260000000000076,-0.6996666666666679,0.0,-0.1389999999999958,1.5716339586557668,-0.6996666666666679,0,0,2022,Singapore Grand Prix,0.0,19,0.0
BOT,11,0 days 00:02:03.254000,INTERMEDIATE,11.0,True,0 days 02:32:32.197000,27.0,15,29.1,0 days 00:00:32.274000,0 days 00:00:48.272000,0 days 00:00:42.708000,1,123.254,9152.197,0.7209999999995489,True,False,False,11.0,0.0,0.0,32.274,48.272,42.708,0,0,0,0.0,125.19679999999998,0.813978316664514,-2.3867957662080004,1,0,125.534,122.395,-3.13900000000001,1.3260000000000076,-2.280000000000001,0.07800000000000296,0.0,-0.05300000000000438,0.15084197028678675,0.07800000000000296,0,1,2022,Singapore Grand Prix,0.0,19,0.0
BOT,12,0 days 00:02:02.395000,INTERMEDIATE,12.0,True,0 days 02:34:34.592000,27.2,15,29.5,0 days 00:00:31.910000,0 days 00:00:48.009000,0 days 00:00:42.476000,1,122.395,9274.592,0.7690000000002328,True,False,False,12.0,0.0,0.0,31.91,48.009,42.476,0,0,0,0.0,124.5862,0.9121415460332896,-2.4022587388208265,1,1,123.254,122.81,-0.4440000000000026,0.0,-0.8590000000000089,-0.4603333333333334,0.0,-0.23199999999999932,0.13229134514396435,-0.4603333333333334,0,1,2022,Singapore Grand Prix,0.0,19,0.0
BOT,13,0 days 00:02:02.810000,INTERMEDIATE,13.0,True,0 days 02:36:37.402000,27.2,15,29.1,0 days 00:00:31.972000,0 days 00:00:48.166000,0 days 00:00:42.672000,1,122.81,9397.402,0.6059999999997672,True,False,False,13.0,0.0,0.0,31.972,48.166,42.672,0,0,0,0.0,124.00520000000002,1.2177900886441846,-0.9814499322544815,0,1,122.395,123.152,0.757000000000005,0.0,0.41500000000000625,-0.6043333333333342,0.0,0.19599999999999795,0.11583824929616246,-0.6043333333333342,0,1,2022,Singapore Grand Prix,0.0,19,0.0
