Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,38,0 days 00:01:42.667000,INTERMEDIATE,26.0,True,0 days 02:11:54.235000,18.7,11,24.1,0 days 00:00:32.366000,0 days 00:00:42.202000,0 days 00:00:28.099000,1,102.667,7914.235,1.149000000000342,False,True,False,False,26.0,0.0,0.0,32.366,42.202,28.099,0,0,0,0.0,103.93320000000001,1.18719572943972,-1.0665469632354363,0,1,102.684,102.701,0.016999999999995907,0.0,-0.016999999999995907,-0.5353333333333362,0.0,0.027000000000001023,0.24129587646704642,-0.5353333333333362,0,0,2025,British Grand Prix,0.0,18,0.0
ALB,39,0 days 00:01:42.701000,INTERMEDIATE,27.0,True,0 days 02:13:36.936000,18.7,10,23.7,0 days 00:00:32.282000,0 days 00:00:42.547000,0 days 00:00:27.872000,12,102.701,8016.936,0.7260000000005675,False,True,False,False,27.0,0.0,0.0,32.282,42.547,27.872,0,0,1,0.0,103.654,1.3071329312659505,-0.729076574543209,0,0,102.667,102.225,-0.4420000000000073,0.0,0.033999999999991815,-0.999,0.0,-0.1999999999999993,0.23326101260176363,-0.999,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,40,0 days 00:01:42.225000,INTERMEDIATE,28.0,True,0 days 02:15:19.161000,18.9,10,23.6,0 days 00:00:32.095000,0 days 00:00:42.273000,0 days 00:00:27.857000,1,102.225,8119.161,0.7789999999995416,False,True,False,False,28.0,0.0,0.0,32.095,42.273,27.857,0,0,0,0.0,103.3362,1.30701136184806,-0.8501838870236139,0,0,102.701,101.5,-1.2009999999999934,0.033999999999991815,-0.4759999999999991,-0.08800000000000334,0.0,-0.015000000000000568,0.17994249081303726,-0.08800000000000334,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,41,0 days 00:01:41.500000,INTERMEDIATE,29.0,True,0 days 02:17:00.661000,19.0,11,23.5,0 days 00:00:31.955000,0 days 00:00:42.108000,0 days 00:00:27.437000,1,101.5,8220.661,1.9609999999993306,False,True,False,False,29.0,0.0,0.0,31.955,42.108,27.437,0,0,0,0.0,102.6484,0.2664034534309464,-4.310754929074777,1,0,102.225,95.273,-6.951999999999998,0.0,-0.7249999999999943,-0.15300000000000105,0.0,-0.41999999999999815,0.13333304166634766,-0.15300000000000105,0,0,2025,British Grand Prix,0.0,18,0.0
ALB,44,0 days 00:01:35.273000,MEDIUM,2.0,True,0 days 02:22:19.319000,19.0,9,24.0,0 days 00:00:30.574000,0 days 00:00:38.965000,0 days 00:00:25.734000,1,95.273,8539.319,2.1920000000009168,False,False,True,False,2.0,0.0,0.0,30.574,38.965,25.734,0,0,0,0.0,102.3554,0.5179829147760945,-13.673037851183713,1,1,101.5,94.663,-6.837000000000003,0.0,-6.227000000000004,-0.3890000000000005,0.0,-1.7029999999999994,0.17754802167301048,-0.3890000000000005,0,0,2025,British Grand Prix,0.0,18,0.0
ALB,45,0 days 00:01:34.663000,MEDIUM,3.0,True,0 days 02:23:53.982000,19.1,9,23.8,0 days 00:00:30.107000,0 days 00:00:39.529000,0 days 00:00:25.027000,1,94.663,8633.982,1.3240000000005239,False,False,True,False,3.0,0.0,0.0,30.107,39.529,25.027,0,0,0,0.0,100.8732,3.1678483549563974,-1.9603842432304428,1,1,95.273,92.681,-2.5919999999999987,0.0,-0.6099999999999994,-2.475999999999999,0.0,-0.7070000000000007,0.7157895640479819,-2.475999999999999,0,0,2025,British Grand Prix,0.0,18,0.0
ALB,46,0 days 00:01:32.681000,MEDIUM,4.0,True,0 days 02:25:26.663000,19.2,9,23.6,0 days 00:00:29.639000,0 days 00:00:38.122000,0 days 00:00:24.920000,1,92.681,8726.663,0.7839999999996508,False,False,True,False,4.0,0.0,0.0,29.639,38.122,24.92,0,0,0,0.0,99.27239999999999,3.958443987225274,-1.6651492407804225,1,1,94.663,91.309,-3.353999999999999,0.0,-1.9819999999999993,-2.5206666666666657,0.0,-0.10699999999999932,0.6637540960325593,-2.5206666666666657,0,1,2025,British Grand Prix,0.0,18,0.0
ALB,47,0 days 00:01:31.309000,MEDIUM,5.0,True,0 days 02:26:57.972000,19.2,9,23.6,0 days 00:00:28.994000,0 days 00:00:37.597000,0 days 00:00:24.718000,1,91.309,8817.972,1.40099999999984,False,False,True,False,5.0,0.0,0.0,28.994,37.597,24.718,0,0,0,0.0,97.2684,4.309532782100617,-1.3828413197718343,0,1,92.681,90.327,-2.353999999999999,0.0,-1.3719999999999999,-2.9396666666666675,0.0,-0.20200000000000173,0.6792037985759503,-2.9396666666666675,0,0,2025,British Grand Prix,0.0,18,0.0
ALB,48,0 days 00:01:30.327000,MEDIUM,6.0,True,0 days 02:28:28.299000,19.1,9,23.7,0 days 00:00:28.742000,0 days 00:00:37.037000,0 days 00:00:24.548000,1,90.327,8908.299,2.312999999998283,False,False,True,False,6.0,0.0,0.0,28.742,37.037,24.548,0,0,0,0.0,95.0852,3.9180047473171657,-1.2144446744885022,0,0,91.309,90.148,-1.1610000000000014,0.0,-0.9819999999999993,-1.3213333333333328,0.0,-0.1700000000000017,0.6438258304852329,-1.3213333333333328,0,0,2025,British Grand Prix,0.0,18,0.0
ALB,49,0 days 00:01:30.148000,MEDIUM,7.0,True,0 days 02:29:58.447000,19.3,9,24.4,0 days 00:00:28.932000,0 days 00:00:36.707000,0 days 00:00:24.509000,1,90.148,8998.447,3.4799999999995634,False,False,True,False,7.0,0.0,0.0,28.932,36.707,24.509,0,0,0,0.0,92.8506,2.1169947567246767,-1.2766210173242707,0,0,90.327,90.047,-0.28000000000000114,0.0,-0.17900000000000205,-1.445333333333333,0.0,-0.038999999999997925,0.6730428663911381,-1.445333333333333,0,0,2025,British Grand Prix,0.0,18,0.0
