Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALO,24,0 days 00:01:17.281000,SOFT,25.0,True,0 days 01:59:54.989000,20.5,3,48.1,0 days 00:00:19.664000,0 days 00:00:39.899000,0 days 00:00:17.718000,1,77.281,7194.989,13.64600000000064,False,True,25.0,0.0,0.0,19.664,39.899,17.718,0,0,0,0.0,76.633,0.1453082929495744,4.459483948551254,0,0,76.687,76.331,-0.35599999999999454,0.1869999999999976,0.5940000000000083,-0.05533333333333227,0.0,0.047999999999998266,0.051095009541051145,-0.05533333333333227,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,27,0 days 00:01:16.331000,MEDIUM,2.0,True,0 days 02:04:05.880000,20.6,3,48.7,0 days 00:00:19.599000,0 days 00:00:39.362000,0 days 00:00:17.370000,1,76.331,7445.88,3.3270000000002256,True,False,2.0,0.0,0.0,19.599,39.362,17.37,0,0,0,0.0,76.7872,0.304279805442154,-1.4992779403716385,0,0,77.281,76.202,-1.0790000000000077,0.7810000000000059,-0.9500000000000028,0.22200000000000367,0.0,-0.3000000000000007,0.04274108094094051,0.22200000000000367,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,28,0 days 00:01:16.202000,MEDIUM,3.0,True,0 days 02:05:22.082000,20.7,3,48.8,0 days 00:00:19.661000,0 days 00:00:39.141000,0 days 00:00:17.400000,1,76.202,7522.082,2.7789999999995416,True,False,3.0,0.0,0.0,19.661,39.141,17.4,0,0,0,0.0,76.6828,0.36042918860702544,-1.333965214799006,0,0,76.331,76.128,-0.20300000000000296,0.0,-0.1290000000000049,-0.05633333333333231,0.0,0.029999999999997584,0.16283181507309988,-0.05633333333333231,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,29,0 days 00:01:16.128000,MEDIUM,4.0,True,0 days 02:06:38.210000,20.4,3,48.4,0 days 00:00:19.511000,0 days 00:00:39.226000,0 days 00:00:17.391000,1,76.128,7598.21,2.493000000000393,True,False,4.0,0.0,0.0,19.511,39.226,17.391,0,0,0,0.0,76.6002,0.42192854845331623,-1.119146835953545,0,0,76.202,76.059,-0.14300000000000068,0.0,-0.07399999999999807,-0.1616666666666665,0.0,0.020999999999997243,0.15601025607311877,-0.1616666666666665,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,30,0 days 00:01:16.059000,MEDIUM,5.0,True,0 days 02:07:54.269000,20.4,3,48.0,0 days 00:00:19.540000,0 days 00:00:39.047000,0 days 00:00:17.472000,1,76.059,7674.269,2.282000000000153,True,False,5.0,0.0,0.0,19.54,39.047,17.472,0,0,0,0.0,76.52579999999999,0.4736430090267625,-0.9855523909434843,0,0,76.128,76.095,-0.03300000000000125,0.0,-0.06900000000000261,-0.38433333333333525,0.0,0.10200000000000031,0.1510523088204876,-0.38433333333333525,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,31,0 days 00:01:16.095000,MEDIUM,6.0,True,0 days 02:09:10.364000,20.5,3,48.0,0 days 00:00:19.673000,0 days 00:00:38.954000,0 days 00:00:17.468000,1,76.095,7750.364,1.9650000000001455,True,False,6.0,0.0,0.0,19.673,38.954,17.468,0,0,0,0.0,76.40020000000001,0.5025909867874016,-0.607253229809938,0,0,76.059,76.028,-0.0309999999999917,0.0,0.036000000000001364,-0.09066666666666852,0.0,0.07700000000000173,0.15975669000076317,-0.09066666666666852,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,32,0 days 00:01:16.028000,MEDIUM,7.0,True,0 days 02:10:26.392000,20.5,3,47.8,0 days 00:00:19.583000,0 days 00:00:38.995000,0 days 00:00:17.450000,1,76.028,7826.392,1.6959999999999127,True,False,7.0,0.0,0.0,19.583,38.995,17.45,0,0,0,0.0,76.163,0.10771490147582805,-1.2533084851800735,0,0,76.095,75.836,-0.25900000000000034,0.036000000000001364,-0.06699999999999307,-0.03566666666666644,0.0,0.05900000000000105,0.16332023757024142,-0.03566666666666644,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,33,0 days 00:01:15.836000,MEDIUM,8.0,True,0 days 02:11:42.228000,20.3,3,47.3,0 days 00:00:19.554000,0 days 00:00:38.912000,0 days 00:00:17.370000,1,75.836,7902.228,1.5010000000002037,True,False,8.0,0.0,0.0,19.554,38.912,17.37,0,0,0,0.0,76.1024,0.06717365555000819,-3.965840444721367,1,0,76.028,75.849,-0.17900000000000205,0.0,-0.19200000000000728,-0.03333333333333144,0.0,-0.0799999999999983,0.03335715815233832,-0.03333333333333144,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,34,0 days 00:01:15.849000,MEDIUM,9.0,True,0 days 02:12:58.077000,20.3,3,47.3,0 days 00:00:19.455000,0 days 00:00:38.985000,0 days 00:00:17.409000,1,75.849,7978.077,1.3840000000000146,True,False,9.0,0.0,0.0,19.455,38.985,17.409,0,0,0,0.0,76.0292,0.11435339959947603,-1.5758167280653799,1,1,75.836,75.721,-0.11499999999999488,0.0,0.01300000000000523,-0.07433333333333299,0.0,0.038999999999997925,0.07114562530472257,-0.07433333333333299,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,35,0 days 00:01:15.721000,MEDIUM,10.0,True,0 days 02:14:13.798000,20.2,3,47.2,0 days 00:00:19.453000,0 days 00:00:38.922000,0 days 00:00:17.346000,1,75.721,8053.798,1.1900000000005093,True,False,10.0,0.0,0.0,19.453,38.922,17.346,0,0,0,0.0,75.9734,0.12191103313466409,-2.070362242941465,1,1,75.849,75.944,0.09499999999999886,0.01300000000000523,-0.1280000000000001,-0.08199999999999837,0.0,-0.02400000000000091,0.07066328608266073,-0.08199999999999837,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
