Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_None,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,27,0 days 00:01:47.162000,MEDIUM,15.0,True,0 days 03:10:14.694000,17.5,6,24.1,0 days 00:00:31.037000,0 days 00:00:47.261000,0 days 00:00:28.864000,1,107.162,11414.694,1.2450000000008004,False,False,True,False,15.0,0.0,0.0,31.037,47.261,28.864,0,0,0,0.0,107.51379999999999,0.09170169028199704,-3.8363524043901807,1,0,107.538,107.19,-0.347999999999999,0.16400000000000148,-0.37599999999999056,0.007666666666665378,0.0,0.06400000000000006,0.05391845695121875,0.007666666666665378,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,28,0 days 00:01:47.190000,MEDIUM,16.0,True,0 days 03:12:01.884000,17.5,6,24.1,0 days 00:00:31.141000,0 days 00:00:47.328000,0 days 00:00:28.721000,1,107.19,11521.884,1.2070000000003347,False,False,True,False,16.0,0.0,0.0,31.141,47.328,28.721,0,0,0,0.0,107.4202,0.1581872308392147,-1.4552375610770834,0,1,107.162,107.372,0.20999999999999375,0.0,0.027999999999991587,-0.11666666666666477,0.0,-0.07900000000000063,0.05445640458201809,-0.11666666666666477,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,29,0 days 00:01:47.372000,MEDIUM,17.0,True,0 days 03:13:49.256000,17.5,6,24.7,0 days 00:00:31.236000,0 days 00:00:47.298000,0 days 00:00:28.838000,1,107.372,11629.256,0.7890000000006694,False,False,True,False,17.0,0.0,0.0,31.236,47.298,28.838,0,0,0,0.0,107.35520000000001,0.1753373890548824,0.09581527414401442,0,0,107.19,107.153,-0.03699999999999193,0.027999999999991587,0.18200000000000216,-0.0613333333333325,0.0,0.11700000000000088,0.06628951651656925,-0.0613333333333325,0,1,2025,Belgian Grand Prix,0.0,19,0.0
ALB,30,0 days 00:01:47.153000,MEDIUM,18.0,True,0 days 03:15:36.409000,17.6,6,24.8,0 days 00:00:31.052000,0 days 00:00:47.293000,0 days 00:00:28.808000,1,107.153,11736.409,0.6720000000004802,False,False,True,False,18.0,0.0,0.0,31.052,47.293,28.808,0,0,0,0.0,107.32719999999999,0.1539064651032729,-1.1318562861091945,0,0,107.372,107.077,-0.2950000000000017,0.20999999999999375,-0.2189999999999941,-0.05533333333333227,0.0,0.08699999999999974,0.07724959546820064,-0.05533333333333227,0,1,2025,Belgian Grand Prix,0.0,19,0.0
ALB,31,0 days 00:01:47.077000,MEDIUM,19.0,True,0 days 03:17:23.486000,17.5,6,24.0,0 days 00:00:31.084000,0 days 00:00:47.296000,0 days 00:00:28.697000,1,107.077,11843.486,0.7119999999995343,False,False,True,False,19.0,0.0,0.0,31.084,47.296,28.697,0,0,0,0.0,107.28299999999999,0.16817847662702684,-1.2248892018259843,0,0,107.153,107.129,-0.02400000000000091,0.0,-0.07600000000000762,-0.0030000000000001137,0.0,-0.02400000000000091,0.08320036057614552,-0.0030000000000001137,0,1,2025,Belgian Grand Prix,0.0,19,0.0
ALB,32,0 days 00:01:47.129000,MEDIUM,20.0,True,0 days 03:19:10.615000,17.5,6,23.8,0 days 00:00:31.043000,0 days 00:00:47.367000,0 days 00:00:28.719000,1,107.129,11950.615,0.5630000000001019,False,False,True,False,20.0,0.0,0.0,31.043,47.367,28.719,0,0,0,0.0,107.1908,0.10959333921637705,-0.563902883531775,0,0,107.077,107.211,0.13400000000000034,0.0,0.05200000000000671,-0.037666666666666515,0.0,0.022000000000002018,0.08174044286643335,-0.037666666666666515,0,1,2025,Belgian Grand Prix,0.0,19,0.0
ALB,33,0 days 00:01:47.211000,MEDIUM,21.0,True,0 days 03:20:57.826000,17.5,6,23.8,0 days 00:00:31.080000,0 days 00:00:47.395000,0 days 00:00:28.736000,1,107.211,12057.826,0.6930000000011205,False,False,True,False,21.0,0.0,0.0,31.08,47.395,28.736,0,0,0,0.0,107.1842,0.112710691598431,0.23777691024626324,0,0,107.129,107.36,0.23099999999999454,0.05200000000000671,0.08199999999999363,-0.08099999999999834,0.0,0.03900000000000148,0.07989555682264594,-0.08099999999999834,0,1,2025,Belgian Grand Prix,0.0,19,0.0
ALB,34,0 days 00:01:47.360000,MEDIUM,22.0,True,0 days 03:22:45.186000,17.5,6,23.5,0 days 00:00:31.264000,0 days 00:00:47.294000,0 days 00:00:28.802000,1,107.36,12165.186,0.8230000000003201,False,False,True,False,22.0,0.0,0.0,31.264,47.294,28.802,0,0,0,0.0,107.1884,0.11337019008803044,1.5136254059974044,0,0,107.211,107.049,-0.16199999999999193,0.13400000000000034,0.1490000000000009,0.01933333333333091,0.0,0.10500000000000043,0.055278386372981145,0.01933333333333091,0,1,2025,Belgian Grand Prix,0.0,19,0.0
ALB,35,0 days 00:01:47.049000,MEDIUM,23.0,True,0 days 03:24:32.235000,17.4,6,23.6,0 days 00:00:31.190000,0 days 00:00:47.161000,0 days 00:00:28.698000,1,107.049,12272.235,0.7879999999986467,False,False,True,False,23.0,0.0,0.0,31.19,47.161,28.698,0,0,0,0.0,107.186,0.10853570841246706,-1.2622573897924991,0,0,107.36,106.901,-0.4590000000000032,0.28300000000000125,-0.31099999999999284,0.09433333333333375,0.0,-0.021000000000000796,0.051688490014708044,0.09433333333333375,0,1,2025,Belgian Grand Prix,0.0,19,0.0
ALB,36,0 days 00:01:46.901000,MEDIUM,24.0,True,0 days 03:26:19.136000,17.3,6,23.1,0 days 00:00:31.010000,0 days 00:00:47.270000,0 days 00:00:28.621000,1,106.901,12379.136,0.9769999999989523,False,False,True,False,24.0,0.0,0.0,31.01,47.27,28.621,0,0,0,0.0,107.1652,0.1251367252272436,-2.1112906664308593,1,0,107.049,107.214,0.16499999999999204,0.0,-0.14800000000001035,-0.0266666666666661,0.0,-0.07700000000000173,0.05272286031695008,-0.0266666666666661,0,1,2025,Belgian Grand Prix,0.0,19,0.0
