Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_INTERMEDIATE,compound_WET,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
BOT,13,0 days 00:01:49.344000,INTERMEDIATE,7.0,True,0 days 03:38:08.957000,15.8,15,18.2,0 days 00:00:39.638000,0 days 00:00:48.588000,0 days 00:00:21.118000,1,109.344,13088.957,0.6399999999994179,True,False,7.0,0.0,0.0,39.638,48.588,21.118,0,0,0,0.0,109.78540000000001,1.9889754397679182,-0.2219233034126958,0,0,108.891,109.695,0.8039999999999878,1.0710000000000122,0.45299999999998875,-1.2866666666666664,0.0,0.3639999999999972,0.4673747960684231,-1.2866666666666664,0,1,2022,Japanese Grand Prix,0.0,18,0.0
BOT,14,0 days 00:01:49.695000,INTERMEDIATE,8.0,True,0 days 03:39:58.652000,15.9,15,18.3,0 days 00:00:39.751000,0 days 00:00:48.767000,0 days 00:00:21.177000,1,109.695,13198.652,1.282999999999447,True,False,8.0,0.0,0.0,39.751,48.767,21.177,0,0,0,0.0,109.4904,1.9049588709470808,0.10740389365901588,0,0,109.344,109.576,0.23199999999999932,1.524000000000001,0.3509999999999991,0.23266666666666444,0.0,0.42299999999999827,0.25602187406547755,0.23266666666666444,0,0,2022,Japanese Grand Prix,0.0,18,0.0
BOT,15,0 days 00:01:49.576000,INTERMEDIATE,9.0,True,0 days 03:41:48.228000,15.9,15,18.3,0 days 00:00:39.550000,0 days 00:00:48.897000,0 days 00:00:21.129000,1,109.576,13308.228,1.4700000000011642,True,False,9.0,0.0,0.0,39.55,48.897,21.129,0,0,0,0.0,108.8792,0.7172856474236429,0.971440042753919,0,0,109.695,110.856,1.1610000000000014,1.875,-0.11899999999999977,0.625,0.0,0.1390000000000029,0.3050281954180617,0.625,0,0,2022,Japanese Grand Prix,0.0,18,0.0
BOT,16,0 days 00:01:50.856000,INTERMEDIATE,10.0,True,0 days 03:43:39.084000,15.9,15,18.3,0 days 00:00:40.419000,0 days 00:00:49.193000,0 days 00:00:21.244000,1,110.856,13419.084,1.1059999999997672,True,False,10.0,0.0,0.0,40.419,49.193,21.244,0,0,0,0.0,109.0652,0.7609472386440154,2.353382611902424,0,0,109.576,110.036,0.46000000000000796,1.7560000000000002,1.2800000000000011,0.22833333333332936,0.0,0.12600000000000122,0.24404241434635704,0.22833333333332936,0,0,2022,Japanese Grand Prix,0.0,18,0.0
BOT,17,0 days 00:01:50.036000,INTERMEDIATE,11.0,True,0 days 03:45:29.120000,15.8,15,18.3,0 days 00:00:39.953000,0 days 00:00:49.015000,0 days 00:00:21.068000,1,110.036,13529.12,1.9859999999989668,True,False,11.0,0.0,0.0,39.953,49.015,21.068,0,0,0,0.0,109.6724,0.7295795364454336,0.49836924123652343,0,0,110.856,110.824,-0.031999999999996476,1.9649999999999892,-0.8199999999999932,0.5040000000000001,0.0,-0.06099999999999994,0.13278667101783778,0.5040000000000001,0,0,2022,Japanese Grand Prix,0.0,18,0.0
BOT,18,0 days 00:01:50.824000,INTERMEDIATE,12.0,True,0 days 03:47:19.944000,15.9,15,18.3,0 days 00:00:40.376000,0 days 00:00:49.069000,0 days 00:00:21.379000,1,110.824,13639.944,1.9639999999999418,True,False,12.0,0.0,0.0,40.376,49.069,21.379,0,0,0,0.0,109.9014,0.5891857092631574,1.5658899825554446,0,0,110.036,110.28,0.24399999999999977,0.6920000000000073,0.7879999999999967,0.1136666666666694,0.0,0.31099999999999994,0.19616753044273008,0.1136666666666694,0,0,2022,Japanese Grand Prix,0.0,18,0.0
BOT,19,0 days 00:01:50.280000,INTERMEDIATE,13.0,True,0 days 03:49:10.224000,15.9,15,18.3,0 days 00:00:40.065000,0 days 00:00:49.068000,0 days 00:00:21.147000,1,110.28,13750.224,5.649999999999636,True,False,13.0,0.0,0.0,40.065,49.068,21.147,0,0,0,0.0,110.19739999999999,0.6105274768590825,0.13529284615486467,0,0,110.824,110.509,-0.3149999999999977,1.2480000000000047,-0.5439999999999969,0.41600000000000154,0.0,0.07899999999999707,0.18614456747377742,0.41600000000000154,0,0,2022,Japanese Grand Prix,0.0,18,0.0
BOT,20,0 days 00:01:50.509000,INTERMEDIATE,14.0,True,0 days 03:51:00.733000,15.9,14,18.3,0 days 00:00:39.923000,0 days 00:00:49.418000,0 days 00:00:21.168000,1,110.509,13860.733,5.082000000000335,True,False,14.0,0.0,0.0,39.923,49.418,21.168,0,0,0,0.0,110.3144,0.5424359870066796,0.35875200882938063,0,0,110.28,110.245,-0.03499999999999659,0.7040000000000077,0.2289999999999992,-0.1919999999999978,0.0,0.09999999999999787,0.13352228278456027,-0.1919999999999978,0,0,2022,Japanese Grand Prix,0.0,18,0.0
BOT,21,0 days 00:01:50.245000,INTERMEDIATE,15.0,True,0 days 03:52:50.978000,15.9,13,18.2,0 days 00:00:39.999000,0 days 00:00:48.964000,0 days 00:00:21.282000,1,110.245,13970.978,4.367000000000189,True,False,15.0,0.0,0.0,39.999,48.964,21.282,0,0,0,0.0,110.501,0.35195312187832456,-0.7273695957966335,0,0,110.509,111.033,0.5240000000000009,0.472999999999999,-0.2639999999999958,0.15766666666666632,0.0,0.13500000000000156,0.1331859602210385,0.15766666666666632,0,0,2022,Japanese Grand Prix,0.0,18,0.0
BOT,22,0 days 00:01:51.033000,INTERMEDIATE,16.0,True,0 days 03:54:42.011000,15.9,13,18.3,0 days 00:00:40.627000,0 days 00:00:49.207000,0 days 00:00:21.199000,1,111.033,14082.011,2.4619999999995343,True,False,16.0,0.0,0.0,40.627,49.207,21.199,0,0,0,0.0,110.3788,0.30013780168433674,2.1796654614270925,0,0,110.245,111.041,0.7959999999999923,0.20900000000000318,0.7879999999999967,-0.19299999999999784,0.0,0.052000000000003155,0.1334998127339513,-0.19299999999999784,0,0,2022,Japanese Grand Prix,0.0,18,0.0
