Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_None,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,29,0 days 00:01:18.168000,HARD,17.0,True,0 days 01:44:03.827000,11,0 days 00:00:22.054000,0 days 00:00:24.904000,0 days 00:00:31.210000,1,78.168,6243.827,0.8719999999993888,True,False,False,False,17.0,0.0,0.0,0.0,0.0,22.054,24.904,31.21,0,0,0,0.0,78.4908,0.23781547468574016,-1.3573549005864685,0,0,78.563,78.21,-0.35300000000000864,0.40099999999999625,-0.394999999999996,-0.07066666666666777,0.0,0.25900000000000034,0.13591431124057618,-0.07066666666666777,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,30,0 days 00:01:18.210000,HARD,18.0,True,0 days 01:45:22.037000,11,0 days 00:00:22.110000,0 days 00:00:24.979000,0 days 00:00:31.121000,1,78.21,6322.037,0.9719999999997526,True,False,False,False,18.0,0.0,0.0,0.0,0.0,22.11,24.979,31.121,0,0,0,0.0,78.492,0.23574774654279018,-1.1961938306325457,0,0,78.168,78.12,-0.04800000000000182,0.0,0.04199999999998738,-0.06099999999999758,0.0,0.16999999999999815,0.14773049786689357,-0.06099999999999758,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,31,0 days 00:01:18.120000,HARD,19.0,True,0 days 01:46:40.157000,11,0 days 00:00:22.044000,0 days 00:00:24.860000,0 days 00:00:31.216000,1,78.12,6400.157,1.3859999999995125,True,False,False,False,19.0,0.0,0.0,0.0,0.0,22.044,24.86,31.216,0,0,0,0.0,78.379,0.1986819065743039,-1.3035912754498278,0,0,78.21,78.008,-0.20199999999999818,0.04199999999998738,-0.0899999999999892,-0.13100000000000023,0.0,0.09500000000000242,0.1486045086799193,-0.13100000000000023,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,32,0 days 00:01:18.008000,HARD,20.0,True,0 days 01:47:58.165000,11,0 days 00:00:21.941000,0 days 00:00:24.823000,0 days 00:00:31.244000,1,78.008,6478.165,2.2730000000001382,True,False,False,False,20.0,0.0,0.0,0.0,0.0,21.941,24.823,31.244,0,0,0,0.0,78.33279999999999,0.23104263675780537,-1.4058011307258136,0,0,78.12,78.019,-0.10099999999999909,0.0,-0.11200000000000898,-0.14766666666666595,0.0,0.12300000000000111,0.13547582810228587,-0.14766666666666595,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,33,0 days 00:01:18.019000,HARD,21.0,True,0 days 01:49:16.184000,11,0 days 00:00:22.148000,0 days 00:00:24.783000,0 days 00:00:31.088000,1,78.019,6556.184,2.96100000000024,True,False,False,False,21.0,0.0,0.0,0.0,0.0,22.148,24.783,31.088,0,0,0,0.0,78.2138,0.2092873622558197,-0.9307776537500123,0,0,78.008,78.271,0.26300000000000523,0.0,0.01100000000000989,-0.05333333333333693,0.0,-0.0329999999999977,0.08165353635942509,-0.05333333333333693,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,34,0 days 00:01:18.271000,HARD,22.0,True,0 days 01:50:34.455000,11,0 days 00:00:22.221000,0 days 00:00:24.895000,0 days 00:00:31.155000,1,78.271,6634.455,4.1840000000001965,True,False,False,False,22.0,0.0,0.0,0.0,0.0,22.221,24.895,31.155,0,0,0,0.0,78.10499999999999,0.08947625383304814,1.8552408364094786,0,0,78.019,78.426,0.4069999999999965,0.01100000000000989,0.25199999999999534,-0.06366666666666276,0.0,0.06700000000000017,0.10703363957186443,-0.06366666666666276,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,35,0 days 00:01:18.426000,HARD,23.0,True,0 days 01:51:52.881000,10,0 days 00:00:22.068000,0 days 00:00:25.122000,0 days 00:00:31.236000,12,78.426,6712.881,4.6909999999998035,True,False,False,False,23.0,0.0,0.0,0.0,0.0,22.068,25.122,31.236,0,0,1,0.0,78.12559999999999,0.1156386613550859,2.5977471243599672,0,0,78.271,78.005,-0.26600000000000534,0.26300000000000523,0.15500000000000114,0.050333333333332085,0.0,0.1479999999999997,0.07585380676010818,0.050333333333332085,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,36,0 days 00:01:18.005000,HARD,24.0,True,0 days 01:53:10.886000,8,0 days 00:00:22.040000,0 days 00:00:24.875000,0 days 00:00:31.090000,21,78.005,6790.886,4.311999999999898,True,False,False,False,24.0,0.0,0.0,0.0,0.0,22.04,24.875,31.09,0,0,1,0.0,78.1688,0.178377969491745,-0.9182748321820616,0,0,78.426,78.128,-0.2980000000000018,0.41800000000000637,-0.4210000000000065,0.13933333333333545,0.0,0.0019999999999988916,0.07006425622241284,0.13933333333333545,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,37,0 days 00:01:18.128000,HARD,25.0,True,0 days 01:54:29.014000,7,0 days 00:00:21.992000,0 days 00:00:24.999000,0 days 00:00:31.137000,1,78.128,6869.014,3.8029999999998836,True,False,False,False,25.0,0.0,0.0,0.0,0.0,21.992,24.999,31.137,0,0,0,0.0,78.1458,0.19305361949468153,-0.09220236350183747,0,0,78.005,77.782,-0.22299999999999898,0.0,0.12300000000000466,-0.004666666666670001,0.0,0.0470000000000006,0.07707982874916083,-0.004666666666670001,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,38,0 days 00:01:17.782000,HARD,26.0,True,0 days 01:55:46.796000,6,0 days 00:00:21.803000,0 days 00:00:24.820000,0 days 00:00:31.159000,1,77.782,6946.796,4.041000000000167,True,False,False,False,26.0,0.0,0.0,0.0,0.0,21.803,24.82,31.159,0,0,0,0.0,78.1698,0.17855447348077896,-2.1718862173550892,1,0,78.128,78.441,0.3130000000000024,0.12300000000000466,-0.34600000000000364,-0.04766666666666689,0.0,0.06899999999999906,0.06896158350850085,-0.04766666666666689,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
