RaceKey,n,baseline_mae,baseline_rmse,model_mae,model_rmse,mae_gain
2023_Bahrain Grand Prix,894,0.5243389261744965,0.8497378046721458,0.42433157347974054,0.6905578965936778,0.10000735269475597
2022_Abu Dhabi Grand Prix,1012,0.520221343873518,0.8049406159816495,0.42749999670550054,0.6539367444264014,0.0927213471680175
2024_Belgian Grand Prix,731,0.5212571819425441,0.7567105399776517,0.42825086478329516,0.6282861646746646,0.09300631715924895
2024_Mexico City Grand Prix,1043,0.5029309683604984,0.8380862959752047,0.42949340184249823,0.6987886151510221,0.07343756651800021
2022_Mexico City Grand Prix,1264,0.48095015822784815,0.8092684445523012,0.4405227891570009,0.704280929459638,0.04042736907084726
2025_Dutch Grand Prix,1021,0.4704760039177278,0.7436310022993952,0.4436408552321385,0.6924438556826384,0.02683514868558934
2023_Saudi Arabian Grand Prix,809,0.557006180469716,0.8661612081859426,0.44456222172254745,0.6992486418100216,0.1124439587471685
2024_Qatar Grand Prix,699,0.5635150214592275,1.0049926903128497,0.445133004757538,0.794779463618002,0.11838201670168952
2024_Italian Grand Prix,907,0.5126240352811465,0.7851040226305085,0.44608663045007607,0.6634874712568474,0.06653740483107046
2023_Spanish Grand Prix,1187,0.5226276326874473,0.7996875216396825,0.4473072618235801,0.6810039276213468,0.07532037086386717
2023_Japanese Grand Prix,682,0.556989736070381,0.8770258166047349,0.4511906953122769,0.7189999246326536,0.10579904075810415
2022_São Paulo Grand Prix,923,0.5545644637053085,0.9155601574720048,0.45553110674402525,0.7647376968999997,0.09903335696128329
2025_Mexico City Grand Prix,1133,0.5231747572815535,0.9039918606941301,0.45589150610451035,0.7634645096023802,0.06728325117704315
2025_Bahrain Grand Prix,932,0.5588283261802575,0.8473795013530271,0.457636051010802,0.6812231533522498,0.10119227516945545
2025_Hungarian Grand Prix,1269,0.4891055949566587,0.7644022685806143,0.458512274847575,0.7122385516690961,0.030593320109083666
2024_Saudi Arabian Grand Prix,797,0.5795734002509408,1.0089580983200543,0.472550059584002,0.8268714048783884,0.10702334066693886
2025_São Paulo Grand Prix,1031,0.544148399612027,0.9206412353300856,0.48182297675623925,0.8127160149759168,0.06232542285578774
2025_Azerbaijan Grand Prix,836,0.5923875598086122,1.0535186418417726,0.482412825417807,0.8569465954775338,0.10997473439080524
2022_United States Grand Prix,759,0.5669169960474306,0.7673451949555321,0.4863585806642249,0.6590936324535726,0.08055841538320574
2024_Azerbaijan Grand Prix,861,0.5537166085946577,0.8422469725881563,0.4864116877943544,0.7717959754137321,0.06730492080030326
2024_United States Grand Prix,918,0.5673649237472764,1.0753555023465566,0.4895987162060157,0.9200313486140821,0.07776620754126073
2022_Azerbaijan Grand Prix,744,0.5806881720430108,0.9104369888974684,0.4907193758677671,0.7388585094141668,0.08996879617524373
2023_United States Grand Prix,899,0.548018909899889,0.8541034270339808,0.4922884056568985,0.785961016738149,0.055730504242990475
2025_United States Grand Prix,943,0.565391304347826,1.4642287587328415,0.4986102007188086,1.1095773134604137,0.0667811036290174
2024_Singapore Grand Prix,1089,0.5983921028466485,0.9429385194291959,0.5115063722618057,0.7866687458076601,0.08688573058484272
2023_Qatar Grand Prix,816,0.6380894607843135,0.9803204351829327,0.5230414320339782,0.8001099403745524,0.11504802875033526
2024_Hungarian Grand Prix,1234,0.6360737439222042,1.0293659174746106,0.5471047157685486,0.8797098579875314,0.0889690281536556
